Code,TITRE,CONTENU,ANA. DIPLOM,DATE
0085/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE PASSAGE DE PRODUITS PETROLIERS 2000 + CONTRAT DE PASSAGE DE 2015 SANS SIGNATURE + AVENANT N°001/2002 AU CONTRAT DE,,,
0086/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE GAZ BUTANE DE 2001 + AMENDEMENT N°08 DE 2013 + CONTRAT DE VENTE N°18/0705 DU 07 AOUT 2018 + PROTOCOLE D'ACCORD DU 08 JUILLET 1999 : ADDAX ET SONABHY,"APPROVISIONNEMENT, GAZ BUTANE, ACCORD, ADDAX, SONABHY.",(CONTRAT),"07. JUIN, 1999. 2001. 2013."
0087/CJ,"JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0834 DU 12 OCTOBRE 2018 + CONTRAT N°20/0292 DU 24 JUILLET 2020 : SONABHY ET AMITIE TRANSPORT, TRAORE SORE SOULEYMANE","TRANSPORT, PRODUIT PETROLIER, AMITIE TRANSPORT, TRAORE SORE SOULEYMANE, SONABHY.",(CONTRAT),27. 2019. 2020.
0088/CJ,AVENANT AU CONTRAT N°01/SIT/DSE/2000 D'APPROVISIONNEMENT DES PRODUITS PETROLIERS A LA SONABHY,"SITARAIL, SONABHY, APPROVISIONNEMENT, PRODUIT PETROLIER, AVENANT.",(CONTRAT),2008.
0089/CJ,JURIDICTION ET CONTENTIEUX : ACCORD DE PASSAGE DE PRODUITS PETROLIERS DU 11 AOUT 1993 + PROTOCOLE D'ACCORD DU REGLEMENT DU CONTENTIEUX DU 22 JANVIER 2008 + PROTOCOLE DE REGLEMENT TRANSACTIONNEL DU 20 OCTOBRE 2005 + CONTRAT DE PASSAGE DE PRODUITS PETROLIERS DU 17 AVRIL 2009 + AVENANT N°18/0433 DU 05 AVRIL 2018 : SONABHY ET SONACOP,"ACCORD, PASSAGE, STOCKAGE, TRANSACTION, CONTENTIEUX, SONACOP, SONABHY.",(CONTRAT),1993. 2005. 2008. 2009. 2018.
0090/CJ,CONTRAT DE VENTE FUEL OIL CAF LOME : TRAFIGURA ET SONABHY 2008,"VENTE, FUEL OIL, TRAFIGURA, SONABHY.",(CONTRAT),"25. JANVIER, 2008."
0091/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS : OVLAS ET SONABHY 2009,"VENTE, PRODUIT PETROLIER, OVLAS, SONABHY.",(CONTRAT),"18. JUIN, 2009."
0092/CJ,PROTOCOLE D'ACCORD PORTANT APUREMENT DE DETTE ENTRE L'ETAT BURKINABE ET LA SONABHY 2009,"ACCORD, DETTE, ETAT BURKINABE, SONABHY, APUREMENT.",(CONTRAT),"31. DECEMBRE, 2009."
0093/CJ,CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS : SONABHY ET LIBYA OIL BURKINA 2010,"VENTE, PRODUIT PETROLIER, SONABHY, LIBYA OIL BURKINA.",(CONTRAT),"26. JANVIER, 2010."
0094/CJ,LETTRE DE COMMANDE N°05/2010 ET ORDRE DE SERVICE : PHARMACIE DE BOULMIOUGOU ET SONABHY,"LETTRE DE COMMANDE, PHARMACIE BOULMIOUGOU, SONABHY, VACCIN, VAXIGRIP.","(CONTRAT, ORDRE DE SERVICE)","FEVRIER, 2010."
0095/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE : SONABHY ET ZONGO POKO BLAISE,"TRAVAIL, SONABHY, ZONGO POKO BLAISE.",(CONTRAT),"26. FEVRIER, 2010."
0096/CJ,CONTRAT D'ENTRETIEN ET DE NETTOYAGE DU 01 MARS 2010 + CONTRAT N°10/2011 DU 27 AVRIL 2011 + MARCHE N°09/2011 DU 17 FEVRIER 2011 + CONTRAT D'ENTRETIEN ET NETTOYAGE DES LOCAUX (DATE ILLISIBLE) + CONTRAT N°11/71 DU 02 SEPTEMBRE 2011 : SONABHY ET ENVIROSERVICES,"ENTRETIEN, NETTOYAGE, BATIMENT, SONABHY, ENVIROSERVICES.",(CONTRAT),2010. 2011.
0097/CJ,PROTOCOLE D'ACCORD N°01/2010 : SONABHY ET DR NAPON/ZONGO DELPHINE DU 15 MARS 2010,"ACCORD, SUIVI MEDICAL, PERSONNEL, SONABHY, NAPON ZONGO DELPHINE DR.",(CONTRAT),"15. MARS, 2010."
0098/CJ,JURIDICTION ET CONTENTIEUX : CONVENTION DE COMPTE COURANT DU 12 MARS 2010 + CONVENTION DE COMPTE COURANT DU 25 JUIN 2024 : SONABHY ET ECOBANK,"CONVENTION, COMPTE COURANT, SONABHY, ECOBANK.",(CONTRAT),"12. 2010, 2024."
0099/CJ,LETTRE DE COMMANDE N°04/2010 + ORDRE DE SERVICE : SONABHY ET DIACFA LIBRAIRIE DU 09 FEVRIER 2010,"COMMANDE, FOURNITURE DE BUREAU, COPIEUR CANON, SONABHY, DIACFA LIBRAIRIE.",(CONTRAT),"09. FEVRIER, 2010."
0100/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS : SONABHY ET C. I. TRANS DU 10 MARS 2010,"TRANSPORT, PRODUIT PETROLIER, SONABHY, C. I. TRANS.",(CONTRAT),"10. MARS, 2010."
0101/CJ,"JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DU 08 FEVRIER 2007 + CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS DU 10 MARS 2010 + PROTOCOLE D'ACCORD DU 16 MAI 2011 + CONTRATN°001/2010 DU 10 MARS 2010 + CONTRAT N°12/0092 DU 25 JUILLET 2012 + CONTRAT N°15/330 DU 30 SEPTEMBRE 2015 + CONTRAT DE TRANSPORT N°22/0444 DU 25 AOUT 2022 + AVENANT N°23/0435 DU 18 SEPTEMBRE 2023: SONABHY ET PETRO BURKINA PLUS, ORABANK, TRAORE MOUMOUNI ME","VENTE, ACCORD, NANTISSEMENT, CREANCE, TRANSPORT, PRODUIT PETROLIER, SONABHY, PETRO BURKINA PLUS, ORABANK, TRAORE MOUMOUNI Me.","(CONTRAT, AVENANT)",2007. 2010. 2023. 2011. 2015. 2017. 2022.
0102/CJ,CONTRAT PORTANT LE N°301410 DE TRAFIGURA ET SONABHY DU 11 MARS 2010,"TRAFIGURA, SONABHY, VENTE, PRODUIT PETROLIER.",(CONTRAT),"11. MARS, 2010."
0103/CJ,CONTRAT PORTANT LE N°301121 DE TRAFIGURA ET SONABHY DU 11 MARS 2010,"TRAFIGURA, SONABHY, VENTE, PRODUIT PETROLIER.",(CONTRAT),"11 MARS , 2010."
0104/CJ,CONTRAT PORTANT LE N°296201 DE TRAFIGURA ET SONABHY DU 10 MARS 2010,"TRAFIGURA, SONABHY, VENTE, PRODUIT PETROLIER.",(CONTRAT),"10. MARS, 2010."
0105/CJ,CONTRAT PORTANT LE N°296786 DE TRAFIGURA ET SONABHY DU 10 MARS 2010,"TRAFIGURA, SONABHY, VENTE, PRODUIT PETROLIER.",(CONTRAT),"10. MARS, 2010."
0106/CJ,CONTRAT DE VENTE FUEL OIL + CONTRAT DE VENTE N°18/0697 DU 07 MARS 2018 : SONABHY ET TRAFIGURA DU 22 DECEMBRE 2009,"VENTE, FUEL OIL, TRAFIGURA, SONABHY.",(CONTRAT),"22. DECEMBRE, 2009."
0107/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, WEND-TAB.",(CONTRAT),14. 2021.
0108/CJ,CONTRAT DE TRANSPORT : SONABHY ET GROUPE ZERBO DU 10 MARS 2010,"TRANSPORT, PRODUIT PETROLIER, SONABHY, GROUPE ZERBO.",(CONTRAT),"10. MARS, 2010."
0109/CJ,CONVENTION DE CREDIT ENTRE SONABHY ET BIB DU 23 FEVRIER 2010,"CREDIT BANCAIRE, SONABHY, BIB.",(CONTRAT),"23. FEVRIER, 2010."
0110/CJ,MARCHE N°04/2009/MCPEA : ORDRE DE COMMANDE RESTAURANT DE BINGO DU 23 MARS 2010,"MARCHE, RESTAURATION, DEPOT DE BINGO, QUALISER, SONABHY.",(CONTRAT),"23. MARS, 2010."
0111/CJ,CONTRAT D'APPROVISIONNEMENT : COMMANDE DE PRODUITS PETROLIERS 2005613 DU 22 AVRIL 2010 ENTRE SONABHY ET ADDAX,"APPROVISIONNEMENT, PRODUIT PETROLIER, SONABHY, ADDAX.",(CONTRAT),"22. AVRIL, 2010."
0112/CJ,CONTRAT PORTANT LE N°305385 SONABHY ET TRAFIGURA DU 06 AVRIL 2010,"VENTE, PRODUIT PETROLIER, SONABHY, TRAFIGURA.",(CONTRAT),"06. AVRIL, 2010."
0113/CJ,CONTRAT DE VENTE DE 2000-3000 TM DE JET DU 26 MAI,,,
2010,,"VENTE, JET A1, APPROVISIONNEMENT, SONABHY, TRAFIGURA.",(CONTRAT),"26. MAI, 2010."
0114/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 12 MAI 2010 + CONTRAT N°18/0170 DU 15 FEVRIER 2018 + AVENANT N°20/0021 DU 23 JANVIER 2020 : SONABHY ET SAWADOGO SOUMAILA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SAWADOGO SOUMAILA, SOUMDOGO.","(CONTRAT, AVENANT)",2010. 2018. 2020.
0115/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°15/399 DU 21 DECEMBRE 2015 + AVENANT N°17/523 DU 27 OCTOBRE 2017 + CONTRAT DE TRANSPORT N°18/0169 DU 15 FEVRIER 2018 : SONABHY ET SABANE TRANSPORT ET COMMERCE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SABANE TRANSPORT ET COMMERCE.",(CONTRAT),2015. 2017. 2018.
0116/CJ,CONTRAT DE TRAVAIL ENTRE SONABHY ET NANA OUMAROU DU 11 MAI 2010,"TRAVAIL, SONABHY, NANA OUMAROU, FINANCES.",(CONTRAT),"11. MAI, 2010."
0117,,,,
0117/CJ,CONVENTION D'ASSISTANCE ET DE REPRESENTATION EN,"ASSISTANCE, JUSTICE, SONABHY, AUCKENTHALER FRANCK.",(CONTRAT),"16. OCTOBRE, 2009."
0118/CJ,CONTRAT D'APPROVISIONNEMENT DE PRODUITS PETROLIERS : SONABHY ET ADDAX DU 22 AVRIL 2010,"APPROVISIONNEMENT, VENTE, PRODUIT PETROLIER, SONABHY, ADDAX.",(CONTRAT),"22. AVRIL, 2010."
0119/CJ,CONTRAT DE VENTE DE FUEL OIL : SONABHY ET TRAFIGURA DU 23 AVRIL 2010,"VENTE, FUEL OIL, SONABHY, TRAFIGURA.",(CONTRAT),"23. AVRIL, 2010."
0120/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS : SONABHY ET TRAFIGURA DU 22 AVRIL 2010,"VENTE, PRODUIT PETROLIER, SONABHY, TRAFIGURA.",(CONTRAT),"22 AVRIL, 2010."
0121/CJ,CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS : SONABHY ET SOPEK INTERNATIONALE DU 25 MAI 2010,"VENTE, PRODUIT PETROLIER, SOPEK INTERNATIONALE,",,
0122/CJ,AVENANT DE RENOUVELLEMENT BRANCHE RISQUES DIVERS : SONAR ET SONABHY 2010,"ASSURANCE, RISQUE, SONAR, SONABHY.",(CONTRAT),"06. MARS, 2010."
0123/CJ,AVENANT DE RENOUVELLEMENT BRANCHE RISQUES DIVERS : SONAR ET SONABHY 2010,"ASSURANCE, RISQUE, SONAR, SONABHY.",(CONTRAT),"05. MARS, 2010."
0124/CJ,AVENANT DE RENOUVELLEMENT BRANCHE INCENDIE : SONAR ET SONABHY 2010,"ASSURANCE, INCENDIE, SONAR, SONABHY.",(CONTRAT),"05. MARS, 2010."
0125/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS DU 12 AVRIL 2002 + MARCHE N°23 /2011 DU 21 AVRIL 2011 POUR FOURNITURE DE TICKETS DE CARBURANTS + CONTRAT N°15/0020 DU 02 FEVRIER 2015 + CONTRAT N°15/0172 DU 07 AVRIL 2015 + ACCORD TRIPARTITE DE DOMICILIATION DE REGLEMENT DU 30 MARS 2015 + CONTRAT DE VENTE N°16/011 DU 25 JANVIER 2016 + CONTRAT N°22/0038 DU 31 JANVIER 2022 + AVENANT,,,
0126/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT D'APPROVISIONNEMENT EN PRODUITS PETROLIERS DU 13 OCTOBRE 2000 + CONTRAT DE FOURNITURE DU 27 NOVEMBRE 2001 : SONABHY ET TAMOIL BURKINA,"FOURNITURE, APPROVISIONNEMENT, PRODUIT PETROLIER, SONABHY, TAMOIL BURKINA, TAMOIL OVERSEAS LIMITED.",(CONTRAT),13. 2000. 2001.
0127/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; AVENANT N°19/0151 DU 10 MAI 2019 + AVENANT N°20/0072 DU 04 MARS 2020 : SONABHY ET WARREN TRADING AND BUSINESS,"TRANSPORT, SONABHY, WARREN TRADING AND BUSINESS, PRODUIT PETROLIER.","(CONTRAT, AVENANT)",29. 2019-2020.
0128/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS : SONABHY ET KABORE AZIZI DU 14 JUIN 2010,"TRANSPORT, PRODUIT PETROLIER, SONABHY, KABORE AZIZI.",(CONTRAT),"14. JUIN, 2010."
0129/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"SONABHY, TRANSPORT, PRODUIT PETROLIER, TRAORE MOUSSA.",(CONTRAT),27. 2010.
0130/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE POUR,"TRAVAIL, RATTRAPAGE, RECEPTION, SONABHY, KABORE ANTOINE DE PADOU.",(CONTRAT),"21. JUIN, 2010."
0131/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE POUR,"TRAVAIL, RATTRAPAGE, RECEPTION, SONABHY, BENON MARCELIN.",(CONTRAT),"21. JUIN, 2010."
0132/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE POUR,"TRAVAIL, RECEPTION, RATTRAPAGE, SONABHY, OUEDRAOGO TIPOKO ODETTE.",,
0133/CJ,CONTRAT D'ENTRETIEN DES CLIMATISEURS : SONABHY ET CFAO TECHNOLOGIES DU 27 AVRIL 2010,"ENTRETIEN, SONABHY, CFAO TECHNOLOGIES, CLIMATISEUR.",(CONTRAT),"27. AVRIL, 2010."
0134/CJ,CONTRAT D'ENTRETIEN COMPLET : PHOTOCOPIEUR SHARP AR 250 SERIE 10500015 : SONABHY ET CFAO TECHNOLOGIES DU 11 MARS 2010,"ENTRETIEN, SONABHY, CFAO TECHNOLOGIES, PHOTOCOPIEUR SHARP.",(CONTRAT),"11. MARS, 2010."
0135/CJ,CONTRAT D'ENTRETIEN COMPLET : PHOTOCOPIEUR SHARP AR M 351 USF SERIE 55030338 : SONABHY ET CFAO TECHNOLOGIES DU 11 MARS 2010,"ENTRETIEN, SONABHY, CFAO TECHNOLOGIES, PHOTOCOPIEUR SHARP.",(CONTRAT),"11. MARS, 2010."
0136/CJ,CONTRAT D'ENTRETIEN COMPLET : PHOTOCOPIEUR SHARP AR M 351 USF SERIE 55030318 : SONABHY ET CFAO TECHNOLOGIES DU 11 MARS 2010,"ENTRETIEN, SONABHY, CFAO TECHNOLOGIES, PHOTOCOPIEUR SHARP.",,
0137/CJ,CONTRAT D'ENTRETIEN COMPLET : PHOTOCOPIEUR SHARP SF 2052 SERIE 05600411 : SONABHY ET CFAO TECHNOLOGIES DU 11 MARS 2010,"ENTRETIEN, SONABHY, CFAO TECHNOLOGIES, PHOTOCOPIEUR SHARP.",(CONTRAT),"11. MARS, 2010."
0138/CJ,CONTRAT DE CONTRUCTION DU CENTRE EMPLISSEUR DE BINGO (PARTIE TECHNIQUE) : SONABHY ET FRIEDLANDER 2004,"CENTRE EMPLISSEUR, DEPOT DE BINGO, FRIEDLANDER, SONABHY, GAZ BUTANE.",(CONTRAT),2004.
0139/CJ,CONTRAT DE CONSTRUCTION CENTRE EMPLISSEUR DE BINGO (PARTIE COMMERCIALE) : SONABHY ET FRIEDLANDER 2004,"CENTRE EMPLISSEUR, DEPOT DE BINGO, GAZ BUTANE, SONABHY, FRIEDLANDER.",(CONTRAT),2004.
0140/CJ,CONTRAT DE CONSTRUCTION D'UNE SPHERE GPL DE 4000 M3,"SPHERE, GPL, DEPOT DE BINGO, GAZ BUTANE, SONABHY, FRIEDLANDER.",(CONTRAT),2005.
0141/CJ,CONTRAT DE CONSTRUCTION D'UNE SPHERE GPL (PARTIE TECHNIQUE) : SONABHY ET FRIEDLANDER 2005,"SPHERE, GPL, DEPOT DE BINGO, GAZ BUTANE, SONABHY, FRIEDLANDER",(CONTRAT),2005.
0142/CJ,CONTRAT D'INGENIERIE : EXTENSION DU CENTRE,"INGENIERIE, CENTRE EMPLISSEUR, DEPOT DE BINGO, SONABHY, TOTAL OUTRE MER.",(CONTRAT),2007.
0143/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS DU 03 MARS 2007 : SONABHY ET SINI (SOCIETE D'INTERMEDIATION ET DE NECOCE INTERNATIONAL),"PRODUIT PETROLIER, VENTE, SONABHY, SINI, SOCIETE D'INTERMEDIATION ET DE NEGOCE INTERNATIONAL.",(CONTRAT),"23. MARS, 2007."
0144/CJ,EXTENSION DU CENTRE EMPLISSEUR ET MISE EN CONFORMITE DE LA DEFENSE CONTRE INCENDIE (DCI) DU DEPOT DE BINGO : CONTRAT N°10/2007 SONABHY ET FRIEDLANDER,"CENTRE EMPLISSEUR, DEPOT DE BINGO, DEFENSE CONTRE INCENDIE, SONABHY, FRIEDLANDER, GAZ BUTANE.",(CONTRAT),
0145/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 25 AOUT 2008 + CONTRAT DU 25 JUIN 2010 + CONTRAT N°15/0159 DU 03 AVRIL 2015 + CONTRAT N°18/0174 DU 16 FEVRIER 2018 + CONTRAT N°24/00346 DU 25 JUILLET 2024: SONABHY ET TAPSOBA SAIDOU,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TAPSOBA SAIDOU.",(CONTRAT),"2008. 2010. 2015. 2018, 2024."
0146/CJ,"JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 25 JUIN 2010 + AVENANT N°13/135 DU 20 NOVEMBRE 2013 + CONTRAT N°18/0118 DU 09 FEVRIER 2018 + CONTRAT N°17/00099 DU 02 FEVRIER 2017 + CONTRAT N°18/0332 DU 09 MARS 2018 + CONTRAT N°18/0906 DU 28 NOVEMBRE 2018 + AVENANT N°22/0285 DU 01 JUIN 2022 + AVENANT N°24/0312 DU 19 JUILLET 2024 : SONABHY ET MAIGA IBRAHIMA, EMIF, (SOTRAMI)","TRANSPORT, PRODUIT PETROLIER, SONABHY, MAIGA IBRAHIMA, SOTRAMI, EMIF.","(CONTRAT, AVENANT)",2010. 2013. 2017. 2018. 2022. 2024.
0147/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 27 JUILLET 2010 + AVENANT N°11/015 DU 11 MARS 2011 + CONTRAT N°15/0118 DIU 13 MARS 2015 : SONABHY ET TOUGMA K OLGA CLOTILDE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TOUGMA K OLGA CLOTILDE, ENTREPRISE NOKA.","(CONTRAT, AVENANT)",2010-2011. 2015.
0148/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS : SONABHY ET EGF DU 25 JUIN 2010,"TRANSPORT, PRODUIT PETROLIER, SONABHY, EGF.",(CONTRAT),"25. JUIN, 2010."
0149/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE GAZ BUTANE A PARTIR DE TEMA DU 03 AOUT 2010 + AVENANT N°11/026 DU 05 AVRIL 2011 AU CONTRAT DE FOURNITURE DE GAZ BUTANE + CONTRAT DE VENTE N°14/0190 DU 24 DECEMBRE 2014 : SONABHY ET ASPEN PETROLEUM,"APPROVISIONNEMENT, GAZ BUTANE, TEMA, VENTE, PRODUIT PETROLIER, SONABHY, ASPEN PETROLEUM.",(CONTRAT),2010-2011. 2014.
0150/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE DU 29 JUILLET 2010 + CONTRAT N°15/3633 DU 19 OCTOBRE 2015 : SONABHY ET COMPAORE ROBERT,"TRAVAIL, SONABHY, RESSOURCE HUMAINE, COMPAORE ROBERT.",(CONTRAT),2010. 2015.
0151/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE : SONABHY ET KABORE ASSANE DU 29 JUILLET 2010,"TRAVAIL, SONABHY, RESSOURCE HUMAINE, KABORE ASSANE.",(CONTRAT),"29. JUILLET, 2010."
0152/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE : SONABHY ET KABORE LASSANE DU 29 JUILLET 2010,"TRAVAIL, SONABHY, RESSOURCE HUMAINE, KABORE LASSANE.",(CONTRAT),"29. JUILLET, 2010."
0153/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE : SONABHY ET KALMOGO BERNARD DU 29 JUILLET 2010,"TRAVAIL, SONABHY, RESSOURCE HUMAINE, KALMOGO BERNARD.",(CONTRAT),"29. JUILLET, 2010."
0154/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE : SONABHY ET KALMOGO GUETAMANEGDA DU 29 JUILLET 2010,"TRAVAIL, SONABHY, RESSOURCE HUMAINE, KALMOGO GUETAMANEGDA.",(CONTRAT),"29. JUILLET, 2010."
0155/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE : SONABHY ET NIKIEMA MOCTAR DU 29 JUILLET 2010,"TRAVAIL, SONABHY, RESSOURCE HUMAINE, NIKIEMA MOCTAR.",(CONTRAT),"29. JUILLET, 2010."
0156/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE : SONABHY ET ZOUNGRANA EDMOND DU 29 JUILLET 2010,"TRAVAIL, SONABHY, RESSOURCE HUMAINE, ZOUNGRANA EDMOND.",(CONTRAT),"29. JUILLET, 2010."
0157/CJ,CONTRATS DE TRANSPORT DE PRODUITS PETROLIERS : SONABHY ET KMS SERVICES DU 06 AOUT 2010,"PRODUIT PETROLIER, SONABHY, TRANSPORT, KMS SERVICES.",(CONTRAT),"06. AOUT, 2010."
0158/CJ,"CONVENTION DE NOVATION : CONTRAT DU 26 AOUT 2010 + AVENANT N°16/0137 DU 04 AVRIL 2016 : SONABHY ET PETROLEUM STORAGE MANAGEMENT LIMITED, ORYX SUPPLY ET STORAGE","NOVATION, PETROLEUM STORAGE MANAGEMENT, ORYX SUPPLY ET STORAGE, SONABHY.","(CONTRAT, AVENANT)","26. AOUT, 2010. 2016."
0159/CJ,PROTOCOLE D'ACCORD TRANSACTIONNEL : SONABHY ET ADDAX DU 09 AOUT 2010,"PRODUIT PETROLIER, ACCORD TRANSACTIONNEL, ADDAX, SONABHY.",(CONTRAT),"09. AOUT, 2010."
0160,,,,
0160/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS : SONABHY ET ADDAX DU 13 SEPTEMBRE 2010,"VENTE, PRODUIT PETROLIER, ADDAX, SONABHY.",(CONTRAT),"13. SEPTEMBRE, 2010."
0161/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°20/0040 DU 11 FEVRIER 2020 + AVENANT N°22/0588 DU 22 NOVEMBRE 2022 + AVENANT N°23/0391 DU 02 AOUT 2023 + AVENANT N°23/0317 DU 16 JUIN 2023 : SONABHY ET SOFADIS,"PRODUIT PETROLIER, SONABHY, TRANSPORT, SOFADIS.","(CONTRAT, AVENANT)",06. 2020. 2022. 2023.
0162/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS DU 06 SEPTEMBRE 2010 + CONTRAT N°11/080 DU 07 DECEMBRE 2011 + AVENANT N°12/0060 DU 15 MAI 2012 + AVENANT N°02/2011 DU 04 FEVRIER 2011 + CONTRAT DE VENTE DE PRODUITS PETROLIERS DU 07 JANVIER 2011 + CONTRAT DE VENTE DE PRODUITS PETROLIERS DU 06 SEPTEMBRE 2010 : SONABHY ET BENIN PETRO,"VENTE, PRODUIT PETROLIER, BENIN PETRO, SONABHY.","(CONTRAT, AVENANT)",2010. 2011. 2012.
0163/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE PRESTATION DE SERVICES DE VOYAGES + CONTRAT DE PRESTATION DU 29 NOVEMBRE 2011 : SONABHY ET KEYSIA'S TRAVEL,"PRESTATION DE SERVICE, VOYAGE, KEYSIA'S TRAVEL, SONABHY.",(CONTRAT),2011.
0164/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS : SONABHY ET OVLAS DU 06 SEPTEMBRE 2010,"PRODUIT PETROLIER, VENTE, OVLAS, SONABHY.",(CONTRAT),"06. SEPTEMBRE, 2010."
0165/CJ,AVENANT N°1 DU CONTRAT DE VENTE DE FUEL OIL : SONABHY ET TRAFIGURA DU 22 SEPTEMBRE 2010,"PRODUIT PETROLIER, VENTE, FUEL OIL, TRAFIGURA, SONABHY.",(CONTRAT),"22. SEPTEMBRE, 2010."
0166/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 13 SEPTEMBRE 2010 + CONTRAT N°15/0246 DU 13 MAI 2015 : SONABHY ET TRAORE ABIBATA,"PRODUIT PETROLIER, TRANSPORT, TRAORE ABIBATA, SONABHY.",(CONTRAT),2010. 2015.
0167/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 13 SEPTEMBRE 2010 + CONTRAT N°15/0034 DU 13 FEVRIER 2015 + CONTRAT N°18/0023 DU 01 FEVRIER 2018 + AVENANT N°18/0903 DU 26 NOVEMBRE 2018 : SONABHY ET OUALI TRANSPORT,"PRODUIT PETROLIER, TRANSPORT, OUALI TRANSPORT, SONABHY.","(CONTRAT, AVENANT)","2010, 2015, 2018."
0168/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 13 SEPTEMBRE 2010 + CONTRAT DE TRANSPORT N°18/0125 DU 09 FEVRIER 2018 + CONTRAT DE TRANSPORT N°18/0125 DU 09 FEVRIER 2018 + AVENANT N°21/0003 DU 13 JANVIER 2021 : SONABHY ET KABORE MOUSTAPHA (EKAMOUF),"PRODUIT PETROLIER, TRANSPORT, KABORE MOUSTAPHA, EKAMOUF, SONABHY.","(CONTRAT, AVENANT)",13. 2010. 2018. 2021.
0169/CJ,CONVENTION DE CONSULTATION ET D'ASSISTANCE JURIDIQUE : SONABHY ET ME INOUSSA ZONGO DU 24 SEPTEMBRE 2010,"ASSISTANCE JURIDIQUE, CONVENTION, CONSULTATION JURIDIQUE, AVOCAT, SONABHY, INOUSSA ZONGO.",(CONTRAT),"24. SEPTEMBRE, 2010."
0170/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SAWADOGO MAROU.",(CONTRAT),2010. 2015. 2022.
0171/CJ,CONVENTION POUR ATTRIBUTION DE DECOUVERT DU 11 OCTOBRE 2010 + CONVENTION DE DECOUVERT N°11/0093 DU 21 DECEMBRE 2011 + CONVENTION D'OUVERTURE DE CREDIT LE 14 AVRIL 2015 + ACTE DE CESSION DE CREANCE DU 13,,,
