ID,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,ANNEE,PASSAGE GED,SORT FINAL
00393,0905/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, WOSSOFOME",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00394,0906/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 30 JANVIER 2007 + AVENANT N°13/031 DU 14 MARS 2013 AU,"AVENANT, TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCIETE DE TRANSPORT GENERAL",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00395,0907/CJ,CONTRAT D'ACCOMPAGNEMENT A LA MISE EN OEUVRE DU,"PLAN STRATEGIQUE, REALISATION, SONABHY, PERFORMANCES MANAGEMENT CONSULTING",(CONTRAT),2005,DOCESSEN,CONSERVATION DEFINITIVE
00396,0908/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS N°13/065 DU 27 MAI 2013 + CONTRAT DE PASSAGE N°15/397 DU 21 DECEMBRE 2015 + CONTRAT N°18/0295 DU 02 MARS 2018 + CONTRAT N°17/0608 DU 28 DECEMBRE 2017 + CONTRAT N°18/0295 DU 02 MARS 2018 + AVENANT N°18/0461 DU 25 AVRIL 2018 + AVENANT,"FOURNITURE, TRANSPORT, PASSAGE, PRODUIT PETROLIER, SONABHY, NAFI OIL","(CONTRAT, AVENANT)","2013, 2015, 2017, 2018, 2019",DOCESSEN,CONSERVATION DEFINITIVE
00397,0909/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS,"SOCIETE DE TRANSPORT ET D'IMPORTATION DU FASO, TRANSPORT, PRODUIT PETROLIER, SONABHY",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00398,0910/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/053 DU 25 AVRIL 2013 + AVENANT N°13/0109 DU 16 SEPTEMBRE 2013 + CONTRAT N°15/0081 DU 26 FEVRIER 2015 + AVENANT N°16/123 DU 04 AVRIL 2016 + AVENANT N°17/0107 DU 14 FEVRIER 2017 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, FILA-SOTREX","(CONTRAT, AVENANT)","2013, 2015, 2016, 2017, 2018",DOCESSEN,CONSERVATION DEFINITIVE
00399,0911/CJ,CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS DU 12,"FOURNITURE, SONABHY, PETRO-SERVICES, PRODUIT PETROLIER, SONABHY",(CONTRAT),2002,DOCESSEN,CONSERVATION DEFINITIVE
00400,0912/CJ,PROTOCOLE D'ACCORD DE CREATION D'UNE SOCIETE DE PRODUCTION DE BIODIESEL AU BURKINA FASO DU 18,"CREATION, SOCIETE, SONABHY, BIOCARBURANT, BIODIESEL INTERNATIONAL CORPORATION",(CONTRAT),2006,DOCESSEN,CONSERVATION DEFINITIVE
00401,0913/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS N°13/071 DU 10 JUIN 2013 + PROTOCOLE D'ACCORD N°14/0124 DU 21 AOUT 2014 + AVENANT N°14/0171 DU 13 NOVEMBRE 2014 + PROTOCOLE D'ACCORD DE REGLEMENT DE DETTE AVENANT N°14/ DU,"PRODUIT PETROLIER, SONABHY, ACCORD, FOURNITURE, STAR OIL ET CO","(CONTRAT, AVENANT)","2013, 2014",DOCESSEN,CONSERVATION DEFINITIVE
00402,0914/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"PRODUIT PETROLIER, SONABHY, TRANSPORT, OUENOUGA TASSERE","(CONTRAT, AVENANT)","2013, 2015, 2018",DOCESSEN,CONSERVATION DEFINITIVE
00403,0915/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS N°13/0078 DU 01 JUILLET 2013 + CONTRAT N°17/0586 DU 28 DECEMBRE 2017,"PRODUIT PETROLIER, SONABHY, FOURNITURE, VENTE, SODISER",(CONTRAT),"2013, 2017",DOCESSEN,CONSERVATION DEFINITIVE
00404,0916/CJ,JURIDICTION ET CONTENTIEUX :  TRANSPORT DE PRODUITS,"PRODUIT PETROLIER, SONABHY, TRANSPORT, GENERAL FONCTION DU BURKINA ET TRANSPORT",(CONTRAT),2018,DOCESSEN,CONSERVATION DEFINITIVE
00405,0917/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"PRODUIT PETROLIER, SONABHY, TRANSPORT, SANFO AKIBA",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
00406,0918/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1850 DU 01 JUILLET 2013 + RENOUVELLEMENT N°15/3684 DU 19,"TRAVAIL, SONABHY, MAINTENANCE, SECURITE, DEPOT PETROLIER, SARE NAZOUME GUSTAVE",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00407,0919/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1849 DU,"TRAVAIL, SONABHY, NANA WINDGOUDI AUGUSTIN, MAINTENANCE, SECURITE, DEPOT PETROLIER",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00408,0920/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1832 DU 01 JUILLET 2013 + CONTRAT N°15/3650 AU 19 OCTOBRE 2015:SONABHY ET KALMOGO LEONARD,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, KALMOGO LEONARD",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00409,0921/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1831 DU 01 JUILLET 2013  + CONTRAT N°15/3646 DU 19 OCTOBRE 2015:SONABHY ET KOLA JOSEPH,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, KOLA JOSEPH",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00410,0922/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1830 DU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, SIMPORE MATHIEU",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00411,0923/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1829 DU 01 JUILLET 2013 + CONTRAT N°15/3630 DU 19 OCTOBRE 2015:SONABHY ET KABORE ASSANE,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, KABORE ASSANE",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00412,0924/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1828 DU 01 JUILLET 2013 + CONTRAT N°15/3653 DU 19 OCTOBRE 2015:SONABHY ET TAPSOBA AMIDOU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, TAPSOBA AMIDOU",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00413,0925/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1827 DU 01 JUILLET 2013 + RENOUVELLEMENT N°15/3709 DU 19,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, ZOUNGRANA EDMOND",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00414,0926/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1826 DU 01 JUILLET 2013 + RENOUVELLEMENT N°15/3667 DU 19,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, KAFANDO WENDPAYENDE THOMAS",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00415,0927/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1825 DU 01 JUILLET 2013 + RENOUVELLEMENT N°15/3694 DU 19,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, BALIMA BENJAMIN",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00416,0928/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1824 DU 01 JUILLET 2013 + RENOUVELLEMENT N°15/3666 DU 19,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, KALMOGO GUETAMANEDGDA",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00417,0929/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1823 DU 01 JUILLET 2013 + CONTRAT N°15/3626 DU 19 OCTOBRE 2015:SONABHY ET KABORE SOMMAILA,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, KABORE SOMMAILA",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00418,0930/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1822 DU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, BELLA IDRISSA",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00419,0931/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1821 DU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, OUEDRAOGO ZAKARIA",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00420,0932/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1820 DU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, NABALOUM AWA",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00421,0933/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1819 DU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, OUEDRAOGO ALASSANE",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00422,0934/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1818 DU 01 JUILLET 2013 + RENOUVELLEMENT N°15/3705 DU 19,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, KABORE JEAN",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00423,0935/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1817 DU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, SOURA KASSOUM",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00424,0936/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1816 DU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, YAMEOGO YABRE",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00425,0937/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1815 DU 01 JUILLET 2013 + CONTRAT N°15/3657 DU 19 OCTOBRE 2015:SONABHY ET TONDE SALIF,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, TONDE SALIF",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00426,0938/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1814 DU 01 JUILLET 2013 + CONTRAT N°15/3664 DU 19 OCTOBRE 2015:SONABHY ET BIKIEGA MAHAMOUDOU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, BIKIEGA MAHAMOUDOU",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00427,0939/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1813 DU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, SANFO ABDOU RAHIM",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00428,0940/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1812 DU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, SONDO EMILE",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00429,0941/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1811 DU 01 JUILLET 2013 + RENOUVELLEMENT N°15/3669 DU 19,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, BAYALA VINCENT EDGARD",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00430,0942/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1810 DU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, KABORE RAOGO CHRISTOPHE",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00431,0943/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1809 DU,"TRAVAIL, SONABHY, MOUVEMENT, PRODUIT PETROLIER, SEBGO TANGOAGA",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00432,0944/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1808 DU,"TRAVAIL, SONABHY, ECHANTILLONNAGE, PRODUIT PETROLIER, LABORATOIRE, ZONGO YABRE",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00433,0945/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1807 DU 01 JUILLET 2013 + CONTRAT N°15/3642 DU 19 OCTOBRE 2015:SONABHY ET DERA ABDOUL WAHABO,"TRAVAIL, SONABHY, MAINTENANCE, SECURITE, DEPOT PETROLIER, DERA ABDOUL WAHABO",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00434,0946/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1806 DU 01 JUILLET 2013 + RENOUVELLEMENT N°15/0189 DU 21,"TRAVAIL, SONABHY, MAINTENANCE, SECURITE, DEPOT PETROLIER, OUEDRAOGO MAMADOU",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00435,0947/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1805 DU,"TRAVAIL, SONABHY, MAINTENANCE, SECURITE, DEPOT PETROLIER, BALIMA HELENE",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00436,0948/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/1804 DU 01 JUILLET 2013 + RENOUVELLEMENT N°13/2732 DU 04 OCTOBRE 2013 + RENOUVELLEMENT N°15/3679 DU 19 OCTOBRE 2015:SONABHY ET KABORE P MARC HUBERSON,"TRAVAIL, SONABHY, MAINTENANCE, SECURITE, DEPOT PETROLIER, KABORE P MARC HUBERSON",(CONTRAT),"2013, 2015",DOCESSEN,CONSERVATION DEFINITIVE
00437,0949/CJ,JURIDICTION ET CONTENTIEUX : AVENANT N°13/0075 DU 01 JUILLET 2013 AU CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS + CONTRAT N°18/203 DU 21 FEVRIER 2018 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOTRANS","(CONTRAT, AVENANT)","2013, 2018, 2019",DOCESSEN,CONSERVATION DEFINITIVE
00438,0950/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°17/535 DU 07 NOVEMBRE 2017+CONTRAT N°18/00168 DU 15 FEVRIER 2018 + AVENANT N°22/0015 DU 18 JANVIER 2022 + AVENANT N°23/0343 DU,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SIBAF","(CONTRAT, AVENANT)","2017, 2018, 2022, 2023",DOCESSEN,CONSERVATION DEFINITIVE
00439,0951/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°15/0394 DU 21 DECEMBRE 2015 + AVENANT N°16/0190 DU 25 MAI 2016 + AVENANT DU 14 JUIN 2016  + AVENANT N°16/0496 DU 21 NOVEMBRE 2016 + CONTRAT N°18/0256 DU 27 FEVRIER 2018 + AVENANT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, GESKO TRANSPORT","(CONTRAT, AVENANT)","2015, 2016, 2018, 2019",DOCESSEN,CONSERVATION DEFINITIVE
00440,0952/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/0083 DU 03 JUILLET 2013 + CONTRAT N°13/0080 DU 03 JUILLET 2013 + AVENANT N°13/0112 DU 16 SEPTEMBRE 2013:SONABHY ET SERVICES DE TRANSPORT DU BURKINA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SERVICES DE TRANSPORT DU BURKINA","(CONTRAT, AVENANT)",2013,DOCESSEN,CONSERVATION DEFINITIVE
00441,0953/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/091 DU 01 AOUT 2013  + CONTRAT N°15/0107 DU 11/03/2015 + CONTRAT N°18/0221,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCAB",(CONTRAT),"2013, 2015, 2018",DOCESSEN,CONSERVATION DEFINITIVE
00442,0954/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS N°13/0096,"VENTE, PRODUIT PETROLIER, SONABHY, GULF PETROLEUM LIMITED",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00443,0955/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°17/560 DU 28 NOVEMBRE 2017 + CONTRAT N°18/0038 DU 01 FEVRIER 2018 + 19/0072 DU 19 FEVRIER 2019 + CONTRAT DE VENTE N°22/0439 DU 19 AOUT,"TRANSPORT, VENTE, YATT & CO ENERGY BURKINA, PRODUIT PETROLIER, SONABHY","(CONTRAT, AVENANT)","2017, 2018, 2019, 2022, 2023",DOCESSEN,CONSERVATION DEFINITIVE
00444,0956/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE PRODUITS PETROLIERS N°13/0099 DU 29 AOUT 2013 + PROTOCOLE D'ACCORD N°14/0125 DU 21 AOUT 2014 + PROTOCOLE D'ACCORD AVENANT (002) N°14/152 DU 10,"VENTE, ACCORD, PRODUIT PETROLIER, SONABHY, SOCOBHY","(CONTRAT, PROTOCOLE D'ACCORD)","2013, 2014",DOCESSEN,CONSERVATION DEFINITIVE
00445,0957/CJ,"CONTRATS N°13/002/CLIM, N°13/027/BU, N°13/026/BU,","CLIMATISATEUR, PHOTOCOPIEUR, ENTRETIEN, SONABHY, CFAO TECHNOLOGIES",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00446,0958/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS N°13/0093,"VENTE, PRODUIT PETROLIER, SONABHY, INTERALL LIMITED","(CONTRAT, AVENANT)",2013,DOCESSEN,CONSERVATION DEFINITIVE
00447,0959/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/084 DU 11 JUILLET 2013 + CONTRAT N°15/0183 DU 07 AVRIL 2015  + AVENANT N°15/328  DU 17 SEPTEMBRE 2015 + CONTRAT N°18/0741 DU,"TRANSPORT, PRODUIT PETROLIER, SONABHY, KM TRANSPORT","(CONTRAT, AVENANT)","2013, 2015, 2018",DOCESSEN,CONSERVATION DEFINITIVE
00448,0960/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS N°13/0097,"VENTE, PRODUIT PETROLIER, SONABHY, SIGMA ENERGY",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00449,0961/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/0102 DU 16 SEPTEMBRE 2013 + CONTRAT N°18/0243 DU 26 FEVRIER 2018 + AVENANT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, INTERNATIONAL TRADE NETWORK","(CONTRAT, AVENANT)","2013, 2018",DOCESSEN,CONSERVATION DEFINITIVE
00450,0962/CJ,CONTRAT DE VENTE A TERME DE PRODUITS PETROLIERS,"VENTE, PRODUIT PETROLIER, SONABHY, ADDAX",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00451,0963/CJ,CONTRAT DE BAIL N°13/0100 DU 03 SEPTEMBRE 2013 : SONABHY ET SAVADOGO MARIE,"LOCATION, BAIL, SAVADOGO MARIE, SONABHY",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00452,0964/CJ,SOUMISSION D'ENTREPOT FICTIF ANNEE 2013 : LOCALITE,"SOUMISSION, ENTREPOT FICTIF, PRODUIT PETROLIER, SONABHY, MINISTERE DE L'ECONOMIE ET DES FINANCES",(CONTRAT),2012,DOCESSEN,CONSERVATION DEFINITIVE
00453,0965/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/2065 DU,"TRAVAIL, SECRETARIAT, SONABHY, KABRE OUEDRAOGO W REBECCA",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00454,0966/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/2826 DU,"TRAVAIL, SECRETARIAT, SONABHY, YODA SALAMATA",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00455,0967/CJ,CONTRAT DE PASSAGE DE PRODUITS PETROLIERS N°13/0089,"PASSAGE, PRODUIT PETROLIER, SONABHY, HYDRO MALI PETROLEUM",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00456,0968/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/0104 DU 16 SEPTEMBRE 2013,"TRANSPORT, PRODUIT PETROLIER, SONABHY, FORT FILS TRANSPORT",(CONTRAT),"2013, 2018",DOCESSEN,CONSERVATION DEFINITIVE
00457,0969/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/0106 DU 16 SEPTEMBRE 2013 + AVENANT N°13/0119 DU,"TRANSPORT, PRODUIT PETROLIER, SONABHY, PROXITEC",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00458,0970/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS,"VENTE, PRODUIT PETROLIER, SONABHY, PETRO SAR","(CONTRAT, AVENANT)","2013, 2014, 2017",DOCESSEN,CONSERVATION DEFINITIVE
00459,0971/CJ,JURIDICTION ET CONTENTIEUX ; CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/0113 DU 16 SEPTEMBRE 2013 + CONTRAT N°15/0112 DU 12 MARS 2015 + CONTRAT N°18/0141 DU 12 FEVRIER 2018 + AVENANT N°19/0198 DU 12 JUIN 2019 + AVENANT N°23/0511 DU 23 NOVEMBRE 2023 :SONABHY ET SOCIETE AFRICAINE DE TRANSPORT INTERNATIONAL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCIETE AFRICAINE DE TRANSPORT INTERNATIONAL, SATI","(CONTRAT, AVENANT)","2013, 2015, 2018, 2019, 2023",DOCESSEN,CONSERVATION DEFINITIVE
00460,0972/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SUCOTROP IMPEX",(CONTRAT),2017,DOCESSEN,CONSERVATION FINALE
00461,0973/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE PRODUITS PETROLIERS N°13/0117 DU 18 OCTOBRE 2013 +,"VENTE, PRODUIT PETROLIER, SONABHY, SOMOUF-OIL",(CONTRAT),"2013, 2017",DOCESSEN,CONSERVATION FINALE
00462,0974/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°16/049 DU 25 FEVRIER 2016 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BELLA KALIFA HAMADO, BKHTS",(CONTRAT),"2016, 2018",DOCESSEN,CONSERVATION DEFINITIVE
00463,0975/CJ,CONTRAT DE SOUSCRIPTION N°13/0125 DU 06 NOVEMBRE 2013 + AVENANT AU CONTRAT DE FOURNITURE DE SERVICES,"SOUSCRIPTION, BOURSE, FLUX D'INFORMATION, PLATT'S, IBICORP, SONABHY, DESCO CONSULTING AFRICA",(CONTRAT),"2011, 2013, 2014",DOCESSEN,CONSERVATION DEFINITIVE
00464,0976/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/0118 DU 18 OCTOBRE 2013 + CONTRAT N°15/0187 DU,"TRANSPORT, PRODUIT PETROLIER, SONABHY, EKYMA, EKYM, KABORE YORO MOHAMADI",(CONTRAT),"2013, 2015, 2016",DOCESSEN,CONSERVATION DEFINITIVE
00465,0977/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/3140 DU,"TRAVAIL, DEPOT PETROLIER, SONABHY, ZERBO OUSMANE",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00466,0978/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS N°13/0136,"VENTE, PRODUIT PETROLIER, SONABHY, AGENCE DE DISTRIBUTION OPTIMALE",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00467,0979/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/103 DU 16 SEPTEMBRE 2013 :SONABHY ET ENTREPRISE LAZE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ENTREPRISE LAZE",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
00468,0980/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/141 DU 02 DECEMBRE 2013 + AVENANT N°14/0052 DU 17 AVRIL 2014  + CONTRAT N°15/0070 DU 23 FEVRIER 2015,"TRANSPORT, PRODUIT PETROLIER, SONABHY, AFRIQUE TRANSPORTS SPECIAUX",(CONTRAT),"2013, 2014, 2015, 2018",DOCESSEN,CONSERVATION DEFINITIVE
00469,0981/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/130 DU 07 NOVEMBRE 2013 + CONTRAT DE VENTE N°14/0214 DU 29 DECEMBRE 2014 + CONTRAT N°17/606 DU,"TRANSPORT, VENTE, PRODUIT PETROLIER, SONABHY, SOPEK INTERNATIONAL",(CONTRAT),"2013, 2014, 2017",DOCESSEN,CONSERVATION DEFINITIVE
00470,0982/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/137 DU 02 DECEMBRE 2013+ CONTRAT N°18/00017 DU,"TRANSPORT, PRODUIT PETROLIER, SONABHY, OUEDRAOGO BOUBAKAR SIDIKI",(CONTRAT),"2013, 2018",DOCESSEN,CONSERVATION DEFINITIVE
00471,0983/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°13/3290 DU,"SONABHY, TRAVAIL, SECRETARIAT, TAPSOBA ARLETTE, PRODUIT PETROLIER",(CONTRAT),2013,DOCESSEN,CONSERVATION DEFINITIVE
