ID,Cote,Intitulé,Période début,Type,Quantité,Fonction,Code fonction,Mots-clés,Types de documents,Date ouverture,Date clôture,Système,Durée conservation,Sort final,Période fin,Observations
816,0667/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,FEVRIER 2020,DOSSIER,28 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BCB,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
817,0668/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,MARS 2020,DOSSIER,19 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BCB,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
818,0669/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,AVRIL 2020,DOSSIER,17 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BCB,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
819,0670/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,MAI 2020,DOSSIER,29 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BCB,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
820,0671/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,JUIN 2020,DOSSIER,27 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BCB,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
821,0672/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,JUILLET  2020,DOSSIER,24  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BCB,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
822,0673/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,AOUT 2020,DOSSIER,31  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BCB,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
823,0674/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,SEPTEMBRE  2020,DOSSIER,30 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BCB,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
824,0675/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,OCTOBRE  2020,DOSSIER,35  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BCB,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
825,0676/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,NOVEMBRE  2020,DOSSIER,27  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BCB,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
826,0677/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,DECEMBRE  2020,DOSSIER,17 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BCB,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
827,0678/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,JANVIER 2020,DOSSIER,15 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
828,0679/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,FEVRIER 2020,DOSSIER,21 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
829,0680/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,MARS  2020,DOSSIER,20  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
830,0681/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,AVRIL  2020,DOSSIER,18 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
831,0682/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,MAI  2020,DOSSIER,17  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
832,0683/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,JUIN  2020,DOSSIER,22 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
833,0684/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,JUILLET  2020,DOSSIER,20  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
834,0685/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,AOUT  2020,DOSSIER,16 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
835,0686/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,SEPTEMBRE  2020,DOSSIER,15 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
836,0687/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,OCTOBRE  2020,DOSSIER,20  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
837,0688/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,NOVEMBRE 2020,DOSSIER,19 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
838,0689/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,DECEMBRE  2020,DOSSIER,14 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
839,0690/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT ECO BANK,JANVIER 2020,DOSSIER,34 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
840,0691/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT ECO BANK,FEVRIER 2020,DOSSIER,64 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
841,0692/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT ECO BANK,MARS 2020,DOSSIER,41 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
842,0693/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT ECO BANK,JUILLET 2020,DOSSIER,199 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
843,0695/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT ECO BANK,SEPTEMBRE 2020,DOSSIER,54  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; ECO BANK,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
844,0696/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,JANVIER 2020,DOSSIER,31  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
845,0697/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,FEVRIER 2020,DOSSIER,57  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
846,0698/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,MARS 2020,DOSSIER,48  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
847,0699/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,AVRIL 2020,DOSSIER,28  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
848,0700/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,MAI 2020,DOSSIER,23  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
849,0701/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,JUIN 2020,DOSSIER,61  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
850,0702/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,JUILLET 2020,DOSSIER,32  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
851,0703/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,AOUT 2020,DOSSIER,41  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
852,0704/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,SEPTEMBRE 2020,DOSSIER,55  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
853,0705/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,OCTOBRE  2020,DOSSIER,60  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
854,0706/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,NOVEMBRE  2020,DOSSIER,42  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ODRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
855,0707/GFC,GESTION FINANCIERE ET COMPTABLE : DEMANDE DE VIREMENT,DECEMBRE 2020,DOSSIER,36  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEMANDE DE VIREMENT DOMESTIQUE; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
856,0708/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE,JANVIER 2020,DOSSIER,238  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
857,0709/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE,FEVRIER 2020,DOSSIER,376  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
858,0710/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE,MARS 2020,DOSSIER,232  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
859,0711/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE,AVRIL 2020,DOSSIER,13  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
860,0712/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE MAI,MAI 2020,DOSSIER,21  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
861,0713/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE,JUIN  2020,DOSSIER,194  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
862,0714/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE,JUILLET 2020,DOSSIER,236  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
863,0715/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE,AOUT 2020,DOSSIER,269 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
864,0716/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE,SEPTEMBRE 2020,DOSSIER,458  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
865,0717/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE,OCTOBRE 2020,DOSSIER,394  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
866,0718/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE,NOVEMBRE 2020,DOSSIER,253  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
867,0719/GFC,GESTION FINANCIERE ET COMPTABLE : ORDRE DE PAIEMENT BOA DE,DECEMBRE 2020,DOSSIER,319  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; ORDRE DE PAIEMENT; BOA,PIECES COMPTABLE; ORDRE DE PAIEMENT,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
868,0720/GFC,GESTION FINANCIERE ET COMPTABLE : ECO BANK ACCRA : CREDIT ET,JANVIER-DECEMBRE 2020,DOSSIER,67  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; CREDIT ET BROUILLARD DE BANQUE; ECO BANK ACCRA,PIECES COMPTABLE; BROUILLARD DE BANQUE,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
869,0721/GFC,GESTION FINANCIERE ET COMPTABLE : CAISSE ACCRA  DE,JANVIER-DECEMBRE 2020,DOSSIER,67  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; CAISSE ACCRA; CREDIT,PIECES COMPTABLE; CAISSE ACCRA,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
870,0722/GFC,GESTION FINANCIERE ET COMPTABLE : RELEVE EXCEPTIONNELLE,JANVIER-DECEMBRE 2020,DOSSIER,11  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; RELEVE EXCEPTIONNELLE D'OPERATIONS; BICIA-B,PIECES COMPTABLE,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
871,0723/GFC,GESTION FINANCIERE ET COMPTABLE : REGLEMENT MANUEL : FRAIS DE,JUIN 2020,DOSSIER,238  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; REGLEMENT MANUEL; FRAIS DE TRANSIT; HYDROCARBURES,PIECES COMPTABLE,30-06-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
872,0724/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN EURO : DEMANDE DE,2020,DOSSIER,02  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; EURO; CORIS BANK,PIECES COMPTABLE; DEMANDE DE VIREMENT ETRANGER,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
873,0725/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN EURO : DEMANDE DE,2020,DOSSIER,01  PIECE,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; EURO; BOA,PIECES COMPTABLE; DEMANDE DE VIREMENT ETRANGER,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
874,0726/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN EURO : DEMANDE DE,2020,DOSSIER,04  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; EURO; SGBF,PIECES COMPTABLE; DEMANDE DE VIREMENT ETRANGER,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
875,0727/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN EURO : DEMANDE DE,2020,DOSSIER,03  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; EURO; ECO BANK,PIECES COMPTABLE; DEMANDE DE VIREMENT ETRANGER,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
876,0728/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN EURO : DEMANDE DE,2020,DOSSIER,10  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; EURO; BICIA-B,PIECES COMPTABLE; DEMANDE DE VIREMENT ETRANGER,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
877,0729/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN EURO : DEMANDE DE,2020,DOSSIER,36  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; EURO; BABF,PIECES COMPTABLE; DEMANDE DE VIREMENT ETRANGER,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
878,0730/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN EURO : REGLEMENT,2020,DOSSIER,01  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; EURO; BABF; REGLEMENT FOURNISSEUR,PIECES COMPTABLE; REGLEMENT FOURNISSEUR,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
879,0731/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN USD : REGLEMENT,2020,DOSSIER,35  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; USD; ECO BANK; REGLEMENT FOURNISSEUR,PIECES COMPTABLE; REGLEMENT FOURNISSEUR,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
880,0732/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN USD : REGLEMENT,2020,DOSSIER,05  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; USD; SGBF; REGLEMENT FOURNISSEUR,PIECES COMPTABLE; REGLEMENT FOURNISSEUR,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
881,0733/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN USD : REGLEMENT,2020,DOSSIER,04  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; USD; ORABANK; REGLEMENT FOURNISSEUR,PIECES COMPTABLE; REGLEMENT FOURNISSEUR,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
882,0734/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN USD : REGLEMENT,2020,DOSSIER,03  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; USD; BSIC; REGLEMENT FOURNISSEUR,PIECES COMPTABLE; REGLEMENT FOURNISSEUR,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
883,0735/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN USD : REGLEMENT,2020,DOSSIER,13  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; USD; BABF; REGLEMENT FOURNISSEUR,PIECES COMPTABLE; REGLEMENT FOURNISSEUR,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
884,0736/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN USD : REGLEMENT,2020,DOSSIER,12  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; USD; BICIA-B; REGLEMENT FOURNISSEUR,PIECES COMPTABLE; REGLEMENT FOURNISSEUR,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
885,0737/GFC,GESTION FINANCIERE ET COMPTABLE : DEVISES EN USD : REGLEMENT,2020,DOSSIER,01  PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,COMPTABILITE; FINANCE; DEVISES; USD; BCB; REGLEMENT FOURNISSEUR,PIECES COMPTABLE; REGLEMENT FOURNISSEUR,01-09-2021,2023,-,10 ANS,CONSERVATION DEFINITIVE,,
