ref,titre,contenu,analyse_diplomatique,annee
0712/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE DEBIT OCTOBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, DEBIT","(NOTE DE DEBIT, BULLETIN D'ENTRETIEN) DATE EXTREME  : OCTOBRE 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0713/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE DEBIT NOVEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, DEBIT","(NOTE DE DEBIT, BULLETIN D' ENTRETIEN) DATE EXTREME  : NOVEMBRE 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0714/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE DEBIT DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, DEBIT","(NOTE DE DEBIT, ETAT, BULLETIN DE LIVRAISON) DATE EXTREME  : DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0715/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT JANVIER 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CREDIT","(NOTE DE CREDIT, RELEVE FACTURE, ETAT) DATE EXTREME  : JANIER 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0716/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT FEVRIER 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CREDIT","(NOTE DE CREDIT, RECAPITULATIF DE SORTIE) DATE EXTREME  : FEVRIER 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0717/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT AVRIL 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CREDIT","(NOTE DE CREDIT, RELEVE DE FACTURE) DATE EXTREME  : AVRIL 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0718/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT MAI 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CREDIT","(NOTE DE CREDIT, BON D'ENLEVEMENT, BON DE LIVRAISON) DATE EXTREME  : MAI 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0719/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT JUIN 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CREDIT","(NOTE DE CREDIT, BON D'ENLEVEMENT) DATE EXTREME  : JUIN 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0720/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT JUILLET 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CREDIT","(NOTE DE CREDIT, BON D'ENLEVEMENT) DATE EXTREME  : JUILLET 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0721/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT AOUT 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CREDIT","(NOTE DE CREDIT, BON D'ENLEVEMENT) DATE EXTREME  : AOUT 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0722/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT SEPTEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CREDIT","(NOTE DE CREDIT, RELEVE DE FACTURE,  BON D'ENLEVEMENT) DATE EXTREME  : SEPTEMBRE 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0723/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT OCTOBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CREDIT","(NOTE DE CREDIT, BON D'ENLEVEMENT) DATE EXTREME  : OCTOBRE 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0724/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT NOVEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CREDIT","(NOTE DE CREDIT, BON D'ENLEVEMENT) DATE EXTREME  : NOVEMBRE 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0725/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CREDIT","(NOTE DE CREDIT, BON D'ENLEVEMENT, RELEVE DE FACTURE) DATE EXTREME  : DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0726/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE LYBIA OIL JANVIER A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, LYBIA OIL BURKINA","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0727/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE SOBUCOP JANVIER A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, SOBUCOP","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0728/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE DE ORYX BURKINA JANVIER A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, ORYX BURKINA BURKINA","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0729/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE ELIKAN PETROLEUM JANVIER-DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, ELIKAN PETROLEUM","(FACTURE) DATE EXTREME  : JANVIER- DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0730/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE ROYAL SERVICE JANVIER A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, ROYAL SERVICE","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0731/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE PEFAN JANVIER A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, PEFAN","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0732/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE AMIRA OIL MAI A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, AMIRA OIL","(FACTURE) DATE EXTREME  : MAI-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0733/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE SODIP JANVIER A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, SODIP","(FACTURE) DATE EXTREME  : JAVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0734/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE PETRODIS JANVIER A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, PETRODIS","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0735/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE VIVO JANVIER A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, VIVO ENERGY BURKINA","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0736/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE PEGAZ BF JANVIER A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, PEGAZ BURKINA","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0737/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE  PRIME OIL JANVIER A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, PRIME OIL","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0738/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE SODIS OIL 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, SODIS OIL","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0739/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE BURKINABE HYDROCARBURE JANVIER A JUIN 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, LA BURKINABE D'HYDROCARBURES","(FACTURE) DATE EXTREME  : JANVIER-JUIN 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0740/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE SOYATT MALI AOUT A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, SOYATT MALI","(FACTURE) DATE EXTREME  : AOUT-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0741/FRP,"VENTE DE PRODUITS PETROLIERS : FACTURES DE PERSOIL ""AVRIL;JUIN;AOUT;DECEMBRE 2014""","VENTE, PRODUIT PETROLIER, FACTURATION","(FACTURE) ""DATE EXTREME  : AVRIL;JUIN;AOUT;DECEMBRE 2014,"" PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0742/FRP,"VENTE DE PRODUITS PETROLIERS : FACTURES DE PETRO ""GULMU JANVIER-FEVRIER;AVRIL-JUILLET 2014""","VENTE, PRODUIT PETROLIER, FACTURATION, PETRO GULMU","(FACTURE) ""DATE EXTREME  : JANVIER-FEVRIER;AVRIL-JUILLET 2014,"" PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0743/FRP,"VENTE DE PRODUITS PETROLIERS : FACTURES DE HYDRO ""MALI JANVIER-JUIN;AOUT-DECEMBRE 2014""","VENTE, PRODUIT PETROLIER, FACTURATION, HYDRO MALI","(FACTURE) ""DATE EXTREME  : JANVIER-JUIN;AOUT-DECEMBRE 2014,"" PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0744/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE SONABHY FEVRIER A DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, SONABHY","(FACTURE) DATE EXTREME  : FEVRIER - DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0745/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE SEDHY FASO FEVRIER 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, SEDHY FASO","(FACTURE) DATE EXTREME  : FEVRIER 2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0746/FRP,"VENTE DE PRODUITS PETROLIERS : FACTURES DE ""GOLFINGER FEVRIER-JUIN;AOUT-DECEMBRE 2014""","VENTE, PRODUIT PETROLIER, FACTURATION, GOLFINGER","(FACTURE) ""DATE EXTREME  : FEVRIER-JUIN;AOUT-DECEMBRE 2014,"" PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0747/FRP,"VENTE DE PRODUITS PETROLIERS : FACTURES DE LAH ET ""FILS MALI MARS-JUIN;AOUT;OCTOBRE 2014""","VENTE, PRODUIT PETROLIER, FACTURATION, LAH ET FILS MALI","(FACTURE) ""DATE EXTREME  : MARS-JUIN;AOUT;OCTOBRE 2014,"" PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0748/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE ADO AOUT-OCTOBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, ADO","(FACTURE) DATE EXTREME  : AOUT-OCTOBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0749/FRP,"VENTE DE PRODUITS PETROLIERS : FACTURES DE SOPEF ""JUILLET-AOUT;NOVEMBRE-DECEMBRE 2014""","VENTE, PRODUIT PETROLIER, FACTURATION, SOPEF","(FACTURE) ""DATE EXTREME  : JUILLET-AOUT;NOVEMBRE-DECEMBRE 2014,"" PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0750/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE EBOMAF FEVRIER-MARS 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, EBOMAF","(FACTURE) DATE EXTREME  : FEVRIER-MARS 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0751/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE MARO FEVRIER-DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, MARO","(FACTURE) DATE EXTREME  : FEVRIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0752/FRP,"VENTE DE PRODUITS PETROLIERS : FACTURES DE ""PETRO-AFRIQUE AOUT-OCTOBRE;DECEMBRE 2014""","VENTE, PRODUIT PETROLIER, FACTURATION, PETRO AFRIQUE","(FACTURE) ""DATE EXTREME  : AOUT-OCTOBRE;DECEMBRE 2014,"" PASSAGE GED   : NON SORT FINAL : DESTRUCTUIN",
0753/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE ENERGIES PLUS D' AFRIQUE DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, ENERGIE PLUS D' AFRIQUE","(FACTURE) DATE EXTREME  : DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0754/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE CPCI DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, CPCI INTERNATIONAL","(FACTURE) DATE EXTREME  : DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0755/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE LE PETROLIER BENIN-BURKINA OCTOBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, LE PETROLIER BENIN-BURKINA","(FACTURE) DATE EXTREME  : OCTOBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0756/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE EDILCO DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, EDILCO","(FACTURE) DATE EXTREME  : DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0757/FRP,"VENTE DE PRODUITS PETROLIERS : FACTURES DE ""PETRO-OIL FEVRIER,AVRIL,SEPTEMBRE;DECEMBRE 2014""","VENTE, PRODUIT PETROLIER, FACTURATION, PETRO-OIL","(FACTURE) ""DATE EXTREME  : FEVRIER;AVRIL;SEPTEMBRE;DECEMBRE 2014,"" PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0758/FRP,"VENTE DE PRODUITS PETROLIERS : FACTURES DE STAR OIL ""DE JANVIER-JUILLET;SEPTEMBRE-DECEMBRE 2014""","VENTE, PRODUIT PETROLIER, FACTURATION, STAR OIL","(FACTURE) ""DATE EXTREME  : JANVIER-JUILLET;SEPTEMBRE-DECEMBRE 2014,"" PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0759/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE EXTRA-OIL JANVIER-DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, EXTRA-OIL","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0760/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE SODHYFA JANVIER-DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, SODHYFA","(FACTURE) DATE EXTREME  : JANVIER- DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0761/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE DOUK' OIL JANVIER-DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION","(FACTURE) DATE EXTREME  : JANVIER- DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0762/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE FASO AVENIR JANVIER-DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, FASO AVENIR","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0763/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE PETRO MONDE JANVIER-DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, PETRO MONDE","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0764/FRP,"VENTE DE PRODUITS PETROLIERS : FACTURES DE FASO OIL ""JANVIER-JUILLET;SEPTEMBRE-DECEMBRE 2014""","VENTE, PRODUIT PETROLIER, FACTURATION, FASO OIL","(FACTURE) ""DATE EXTREME  : JANVIER-JUILLET;SEPTEMBRE-DECEMBRE 2014,"" PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0765/FRP,"VENTE DE PRODUITS PETROLIERS : FACTURES DE SOCOBHY ""JANVIER-JUIN;AOUT-DECEMBRE 2014""","VENTE, PRODUIT PETROLIER, FACTURATION, SOCOBHY","(FACTURE) ""DATE EXTREME  : JANVIER-JUIN;AOUT-DECEMBRE 2014,"" PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0766/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE SODISER JANVIER-DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, SODISER","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0767/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE SKY JANVIER - DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, SKY","(FACTURE) DATE EXTREME  :  2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0768/FRP,VENTE DE PRODUITS PETROLIERS :FACTURES DE PETROLUB JANVIER- DECEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, PETROLUB","(FACTURE) DATE EXTREME  :  2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0789/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE BURKINA ENERGY FEVRIER A NOVEMBRE 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, BURKINA ENERGY","(FACTURE) DATE EXTREME  :  2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0770/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE DE SOMOUF OIL 2014,"VENTE, PRODUIT PETROLIER, FACTURATION, SOMOUF OIL","(FACTURE) DATE EXTREME  :  2014, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0771/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT DE FASO AVENIR DE 2012,"VENTE, PRODUIT PETROLIER, FASO AVENIR","(NOTE DE CREDIT) DATE EXTREME  : 2012 , PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0772/FRP,VENTE DE PRODUITS PETROLIERS : NOTES DE CREDIT DE PETROGULMU DE 2012,"VENTE, PRODUIT PETROLIER, PETRO GULMU","(NOTE DE CREDIT) DATE EXTREME  : 2012, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0773/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT DE LA SONABEL DE 2012,"VENTE, PRODUIT PETROLIER, SONABEL","(NOTE DE CREDIT, BON D'ENLEVEMENT, RELEVE FACTURE) DATE EXTREME  :  2012, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0774/FRP,VENTE DE PRODUITS PETROLIERS : NOTES DE CREDIT DE L'ETAT MAJOR GENERAL DES ARMEES DE 2012,"VENTE, PRODUIT PETROLIER, ETAT MAJOR GENERAL DES ARMEES","(NOTE DE CREDIT) DATE EXTREME  :  2014, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0775/FRP,VENTE DE PRODUITS PETROLIERS : NOTES DE CREDIT DE ELIKAN DE 2012,"VENTE, PRODUIT PETROLIER, ELIKAN","(NOTE DE CREDIT, BON D'ENLEVEMENT, RELEVE FACTURE) DATE EXTREME  : 2012 , PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0776/FRP,VENTE DE PRODUITS PETROLIERS : NOTES DE CREDIT DE BURKINA ET SHELL D 2012,"VENTE, PRODUIT PETROLIER, BURKINA ET SHELL","(NOTE DE CREDIT, RELEVE DE FACTURE) DATE EXTREME  :  2012, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0777/FRP,VENTE DE PRODUITS PETROLIERS : NOTE DE CREDIT DE SOPEF 2012,"VENTE, PRODUIT PETROLIER, SOPEF","(NOTE DE CREDIT, BON D'ENLEVEMENT, LIVRAISON, RELEVE FACTURE) DATE EXTREME  :  2012, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0778/FRP,VENTE DE PRODUITS PETROLIERS : NOTES DE CREDIT DE PETROFA DE 2012,"VENTE, PRODUIT PETROLIER, FACTURATION","(NOTE DE CREDIT,  BON DE COMMANDE, RELEVE FACTURE) DATE EXTREME  :  2012, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0779/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE FACTURECOURRIER ARRIVEE DE LA SONABEL 2010-2011,"VENTE, PRODUIT PETROLIER, FACTURATION, SONABEL","(ETAT DE FACTURE, CORRESPONDANCE) DATE EXTREME  :  2010-2011, PASSAGE GED   : NON SORT FINAL : CONSERVATION DEFINITIVE",
0780/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE FASO AVENIR FEVRIER- DECEMBRE 2012,"FACTURATION , PRODUIT PETROLIER, FASO AVENIR","(FACTURE) DATE EXTREME  : FEVRIER-DECEMBRE 2012 , PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0781/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE DE SOPEF MARS A DECEMBRE 2012,"FACTURATION, PRODUIT PETROLIER, SOPEF","(FACTURE) DATE EXTREME  : MARS-DECEMBRE 2012, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0782/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE DE ELIKAN DE JANVIER A DECEMBRE 2012,"FACTURATION, PRODUIT PETROLIER, ELIKAN","(FACTURE) DATE EXTREME  : JANVIER -DECEMBRE 2012, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0783/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE PETRODIS DE JANVIER A DECEMBRE 2012,"FACTURATION, PRODUIT PETROLIER, PETRODIS","(FACTURE) DATE EXTREME  : JANVIER- DECEMBRE 2012, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0784/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE MAJOR GENERALE DES ARMEES  JANVIER- DECEMBRE 2012,"FACTURATION, PRODUIT PETROLIER, MAJOR GENERALE DES ARMEES","(FACTURE) DATE EXTREME  : JANVIER- DECEMBRE 2012, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0785/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE PETROLUB JANVIER A DECEMBRE 2012,"FACTURATION, PRODUIT PETROLIER, PETROLUB","(FACTURE) DATE EXTREME  : JANVIER-DECEMBRE 2012, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0786/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES DE TOTAL BURKINA SEPTEMBRE 2012,"FACTURATION, PRODUIT PETROLIER, TOTAL BURKINA","(FACTURE) DATE EXTREME  : SEPTEMBRE 2012, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0787/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE REGLEMENT CLIENTS FASO OIL 2013,"FACTURATION, PRODUIT PETROLIER, FASO OIL, REGLEMENT","(ETAT DE REGLEMENT) DATE EXTREME  :  2013, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0788/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE REGLEMENT CLIENTS SOBUCOP 2013,"FACTURATION, PRODUIT PETROLIER, SOBUCOP, REGLEMENT","(ETAT DE REGLEMENT) DATE EXTREME  :  2013, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0789/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE REGLEMENT CLIENTS TOTAL BURKINA 2013,"FACTURATION, PRODUIT PETROLIER, TOTAL BURKINA, REGLEMENT","(ETAT DE REGLEMENT) DATE EXTREME  :  2013, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0790/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE REGLEMENT CLIENTS SOPEF 2013,"FACTURATION, PRODUIT PETROLIER, SOPEF, REGLEMENT","(ETAT DE REGLEMENT) DATE EXTREME  :  2013, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0791/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE REGLEMENT CLIENTS SONABEL 2013,"FACTURATION, PRODUIT PETROLIER, SONABEL, REGLEMENT","(ETAT DE REGLEMENT, PAIEMENT DE SUBVENTION) DATE EXTREME  :  2013, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0792/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE REGLEMENT CLIENTS PETRO GULMU 2013,"FACTURATION, PRODUIT PETROLIER, PETRO GULMU, REGLEMENT","(ETAT DE REGLEMENT) DATE EXTREME  :  2013, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0793/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE REGLEMENT CLIENTS LIBYA OIL 2013,"FACTURATION, PRODUIT PETROLIER, LIBYA OIL BURKINA, REGLEMENT","(ETAT DE REGLEMENT) DATE EXTREME  :  2013, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0794/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE  REGLEMENT CLIENTS PETRODIS 2013,"FACTURATION, PRODUIT PETROLIER, REGLEMENT, PETRODIS","(ETAT DE REGLEMENT) DATE EXTREME  :  2013, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0795/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE REGLEMENT CLIENTS ELIKAN 2013,"FACTURATION, PRODUIT PETROLIER, REGLEMENT, ELIKAN","(ETAT DE REGLEMENT) DATE EXTREME  :  2013, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0796/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE  REGLEMENT CLIENTS OTAM 2013,"FACTURATION, PRODUIT PETROLIER, REGLEMENT, OTAM","(ETAT DE REGLEMENT) DATE EXTREME  :  2013, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0797/FRP,VENTE DE PRODUITS PETROLIERS : ETAT DE REGLEMENT CLIENTS ECODIS 2013,"FACTURATION, PRODUIT PETROLIER, ECODIS, REGLEMENT","(ETAT DE REGLEMENT) DATE EXTREME  :  2013, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
