ref,cote,titre,analyse_diplomatique,date,contenu
0178,0185/CS,CARNETS DE BORDEREAUX DE LIVRAISON,(SOUCHE),"NOVEMBRE II , 2002","PRODUIT PETROLIER, LIVRAISON"
0179,0186/CS,CARNETS DE BORDEREAUX DE LIVRAISON,(SOUCHE),"NOVEMBRE III , 2002","PRODUIT PETROLIER, LIVRAISON"
0180,0187/CS,CARNETS DE BORDEREAUX DE LIVRAISON,(SOUCHE),"DECEMBRE I , 2002","PRODUIT PETROLIER, LIVRAISON"
0181,0188/CS,CARNETS DE BORDEREAUX DE LIVRAISON,(SOUCHE),"DECEMBRE II , 2002","PRODUIT PETROLIER, LIVRAISON"
0182,0189/CS,CARNETS DE BORDEREAUX DE LIVRAISON,(SOUCHE),"DECEMBRE III , 2002","PRODUIT PETROLIER, LIVRAISON"
0183,0190/CS,CARNETS DE BORDEREAUX DE LIVRAISON,(SOUCHE),"JANVIER I , 2003","PRODUIT PETROLIER, LIVRAISON"
0184,0191/CS,CARNETS DE BORDEREAUX DE LIVRAISON,(SOUCHE),"JANVIER II , 2003","PRODUIT PETROLIER, LIVRAISON"
0185,0192/CS,,(BON),"JANVIERMAI , 2002","BUTANE, RECEPTION, LIVRAISON"
0186,0193/CS,,(BON),"JUINSEPTEMBRE , 2002","BUTANE, RECEPTION, LIVRAISON"
0187,0194/CS,,(BON ),"OCTOBREJANVIER , 2002, 2003","BUTANE, LIVRAISON, RECEPTION"
0188,0001/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"OCTOBRENOVEMBREDECEMBRE , 2001","PRODUIT PETROLIER, TRANSIT, DOUANE"
0189,0002/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"JANVIER I , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0190,0003/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"JANVIER II , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0191,0004/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"JANVIER III , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0192,0005/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"FEVRIER I , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0193,0006/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"FEVRIER II , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0194,0007/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"MARS I , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0195,0008/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"MARS II , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0196,0009/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"MARS III , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0197,0010/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"MARS IV , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0198,0011/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"AVRIL I , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0199,0012/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"AVRIL II , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0200,0013/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"AVRIL III , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0201,0014/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"MAI I , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0202,0015/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"MAI II , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0203,0016/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"JUIN I , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0204,0017/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"JUIN II , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0205,0018/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"JUIN III , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0206,0019/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"JUIN IV , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0207,0020/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"JUILLET I , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0208,0021/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"JUILLET II , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0209,0022/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"JUILLET III , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0210,0023/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"AOUT I , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0211,0024/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"AOUT II , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0212,0025/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"AOUT III , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0213,0026/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"AOUT IV , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0214,0027/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"SEPTEMBRE I , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0215,0028/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"SEPTEMBRE II , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0216,0029/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"SEPTEMBRE III , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0217,0030/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"OCTOBRE I , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0218,0031/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"OCTOBRE II , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0219,0032/STR,LETTRES DE VOITURE INTER-ETATS,(FORMULAIRE),"NOVEMBRE , 2002","PRODUIT PETROLIER, TRANSIT, DOUANE"
0220,0147/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"SEPTEMBRE II , 2002","LIVRAISON, PRODUIT PETROLIER, BINGO"
0221,0148/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"OCTOBRE I , 2002","LIVRAISON, PRODUIT PETROLIER, BINGO"
0222,0149/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"OCTOBRE II , 2002","LIVRAISON, PRODUIT PETROLIER, BINGO"
0223,0150/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"NOVEMBRE I , 2002","LIVRAISON, PRODUIT PETROLIER, BINGO"
0224,0151/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"NOVEMBRE II , 2002","LIVRAISON, PRODUIT PETROLIER, BINGO"
0225,0152/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"DECEMBRE I , 2002","LIVRAISON, PRODUIT PETROLIER, BINGO"
0226,0153/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"DECEMBRE II , 2002","LIVRAISON, PRODUIT PETROLIER, BINGO"
0227,0154/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"JANVIER I , 2003","LIVRAISON, PRODUIT PETROLIER, BINGO"
0228,0155/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"JANVIER II , 2003","LIVRAISON, PRODUIT PETROLIER, BINGO"
0229,0156/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"FEVRIER I , 2003","LIVRAISON, PRODUIT PETROLIER, BINGO"
0230,0157/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"FEVRIER II , 2003","LIVRAISON, PRODUIT PETROLIER, BINGO"
0231,0158/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"MARS I , 2003","LIVRAISON, PRODUIT PETROLIER, BINGO"
0232,0159/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"MARS II , 2003","LIVRAISON, PRODUIT PETROLIER, BINGO"
0233,0160/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"AVRIL , 2003","LIVRAISON, PRODUIT PETROLIER, BINGO"
0234,0161/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"MAI I , 2003","LIVRAISON, PRODUIT PETROLIER, BINGO"
0235,0162/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"MAI II , 2003","LIVRAISON, PRODUIT PETROLIER, BINGO"
0236,0163/SMO,BORDEREAUX DE LIVRAISON (ROSE),(BORDEREAU),"JUIN , 2003","LIVRAISON, PRODUIT PETROLIER, BINGO"
0237,0033/STR,"TRANSIT : CIRCULAIRES, NOTES DE SERVICE, STRUCTURE DE PRIX","(CIRCULAIRE, ARRETE, DECISION, NOTE DE SERVICE) , 1976-1998",,"TRANSIT, DOUANE, PRODUIT PETROLIER, STRUCTURE DE PRIX"
0238,0034/STR,DECLARATION DE MISE A LA CONSOMMATION : MOBIL OIL BURKINA,"(DECLARATION) , 1994",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER, MOBIL OIL BURKINA"
0239,0035/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(DECLARATION) , 1994",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0240,0036/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL -TEXACO,"(DECLARATION) , 1994",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL TEXACO"
0241,0037/STR,TRANSIT : COMPTE RENDU ET PROCES VERBAL DE REUNION,"(COMPTE RENDU, PROCES VERBAL) , 1996",,"TRANSIT, DOUANE, PRODUIT PETROLIER, REUNION"
0242,0038/STR,"TRANSIT : DOUANE, ETAT DE DROITS CONSTATES, TRANSACTIONS DOUANE","(CORRESPONDANCE) , 1993-1997",,"TRANSIT, DOUANE, PRODUIT PETROLIER"
0243,0039/STR,TRANSIT : SORTIES DECADES DECLAREES,"(ETAT) , 1992-1997",,"TRANSIT, PRODUIT PETROLIER, SORTIE"
0244,0040/STR,TRANSIT : PROJET DE LETTRE,"(CORRESPONDANCE) , 1992-1995",,"TRANSIT, PRODUIT PETROLIER"
0245,0041/STR,SUIVI DES DECLARATION DE MISE A LA CONSOMMATION,"(FICHE DE SUIVI) , 1994",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER, DMC"
0246,0042/STR,COPIES DES EXONERATIONS RETOURNEES,"(LETTRE) , 1994-1997",,"TRANSIT, DOUANE, EXONERATION, PRODUIT PETROLIER"
0247,0043/STR,SUIVI DES DECLARATIONS DE MISE A LA CONSOMMATION,"(FICHE DE SUIVI) , 1995",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER, DMC"
0248,0044/STR,LISTING SGS ABIDJAN,"(LETTRE, LISTING) , 1995-1996",,"TRANSIT, PRODUIT PETROLIER, IMPORTATION, SIR"
0249,0045/STR,LISTING SGS COTONOU,"(LISTING) , 1995-1996",,"TRANSIT, PRODUIT PETROLIER, IMPORTATION, SONACOP"
0250,0046/STR,"AUTORISATIONS DE REMBOURSEMENT OU DE COMPENSATION : SHELL, ELF OIL,  TOTAL","(DECISION, DECLARATION) , 1995-1996",,"TRANSIT, REMBOURSEMENT, COMPENSATION, PRODUIT PETROLIER, BURKINA ET SHELL, ELF OIL BURKINA, TOTAL BURKINA"
0251,0047/STR,"AUTORISATIONS DE REMBOURSEMENT OU DE COMPENSATION : MOBIL OIL BURKINA, TAGUI","(DECISION, DECLARATION) , 1995-1996",,"TRANSIT, REMBOURSEMENT, COMPENSATION, PRODUIT PETROLIER, MOBIL OIL BURKINA, TAGUI"
0252,0048/STR,COPIES DE DECLARATION DE MISE A LA CONSOMMATION ET DECLARATION D'IMPORTATION TEMPORAIRE : 501-1000,"(DECLARATION, S4, DMC) , 1996",,"TRANSIT, PRODUIT PETROLIER, DEDOUANEMENT"
0253,0049/STR,COPIES DE DECLARATION DE MISE A LA CONSOMMATION ET DECLARATION D'IMPORTATION TEMPORAIRE : 501-1000,"(DMC, S4) , 1997",,"TRANSIT·, DEDOUANEMENT, PRODUIT PETROLIER"
0254,0050/STR,COPIES DE DECLARATION DE MISE A LA CONSOMMATION ET DECLARATION D'IMPORTATION TEMPORAIRE : 001-500,"(DMC, S4) , 1998",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0255,0051/STR,COPIES DE DECLARATION DE MISE A LA CONSOMMATION ET DECLARATION D'IMPORTATION TEMPORAIRE : 2000 - 2500,"(DMC, S4) , 1998",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0256,0052/STR,COPIES DE DECLARATION DE MISE A LA CONSOMMATION ET DECLARATION D'IMPORTATION TEMPORAIRE : 1001 - 1500,"(DMC, S4) , 1998",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0257,0053/STR,COPIES DE DECLARATION DE MISE A LA CONSOMMATION ET DECLARATION D'IMPORTATION TEMPORAIRE : 1500 - 2000,"(DMC, S4) , 1998",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0258,0054/STR,DECLARATION DE MISE A LA CONSOMMATION : DECADE,"(DMC, BULLETIN DE LIQUIDATION, DECADE)","OCTOBRE , 1998","TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0259,0055/STR,DECLARATION DE MISE A LA CONSOMMATION : DECADE,"(DMC, BULLETIN DE LIQUIDATION, DECADE)","NOVEMBRE , 1998","TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0260,0056/STR,DECLARATION DE MISE A LA CONSOMMATION : DECADE,"(DMC, BULLETIN DE LIQUIDATION, DECADE)","DECEMBRE , 1998","TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0261,0057/STR,COPIES DES QUITTANCES DOUANE BINGO,"(QUITTANCE) , 1998",,"TRANSIT, DOUANE, DEPOT BINGO, PRODUIT PETROLIER"
0262,0058/STR,DECLARATION DE MISE A LA CONSOMMATION : DECADE : 001 - 500,"(DMC, S4) , 1999",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0263,0059/STR,DECLARATION DE MISE A LA CONSOMMATION : 501 - 1000,"(DMC, S4) , 1999",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0264,0060/STR,DECLARATION DE MISE A LA CONSOMMATION : 1001 - 1500,"(DMC, S4) , 1999",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0265,0061/STR,DECLARATION DE MISE A LA CONSOMMATION : 1501 - 2000,"(DMC, S4) , 1999",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0266,0062/STR,DECLARATION DE MISE A LA CONSOMMATION : 2001 - 2500,"(DMC, S4) , 1999",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0267,0063/STR,DECLARATION DE MISE A LA CONSOMMATION : 2501 - 3000,"(DMC, S4) , 1999",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0268,0064/STR,DECLARATION DE MISE A LA CONSOMMATION : 3001 - 3173,"(DMC, S4) , 1999",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0269,0065/STR,PROROGATIONS SUR LES EXONERATIONS,"(DMC, LETTRE, FACTURE, BON) , 1999",,"TRANSIT, DOUANE, EXONERATION, PRODUIT PETROLIER"
0270,0066/STR,DECADES ET ETATS RECAPITULATIFS DES SORTIES CARBURANT,"(ETAT, CORRESPONDANCE, DECADE) , 1989-1993",,"TRANSIT, SORTIE, PRODUIT PETROLIER"
0271,0067/STR,EXONERATIONS : MAINLEVEE - FRANCHISE,"(LETTRE, FORMULAIRE, FACTURE) , 1990 - 1996",,"TRANSIT, PRODUIT PETROLIER"
0272,0068/STR,"EXONERATION : SOUMISSION MAIN LEVEE, CAUTION","(FORMULAIRE, LETTRE) , 1991-1995",,"TRANSIT, MAINLEVEE, CAUTION, PRODUIT PETROLIER"
0273,0069/STR,,"(LETTRE, CRM, S2) , 1991 - 1995",,"TRANSIT, DEDOUANEMENT, TRANSFERT, LITIGE, PRODUIT PETROLIER"
0274,0070/STR,DIVERS DOCUMENTS DE LA DOUANE,"(CORRESPONDANCE, ETAT) , 1991-1996",,"TRANSIT, DOUANE, PRODUIT PETROLIER"
0275,0071/STR,CORRESPONDANCES RELATIVES AU TRANSIT,"(CORRESPONDANCE) , 1992-1998",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER"
0276,0072/STR,"DOSSIERS:TUPP, LIQUIDATION D'OFFICE, VALEUR EN DOUANE","(CORRESPONDANCE) , 1993-1995",,"TRANSIT, DOUANE, TUPP, PRODUITS PETROLIERS"
0277,0073/STR,DECLARATION DE MISE A LA CONSOMMATION :TOTAL TEXACO,"(IMPRIME) , 1993-1994",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL TEXACO"
0278,0074/STR,DOUANE FRANCHISE : EXONERATION,"(DECISION, CORRESPONDANCE) , 1996-1997",,"TRANSIT, DEDOUANEMENT, EXONERATION, PRODUIT PETROLIER"
0279,0075/STR,DECLARATION DE REEXPORTATION,"(DECLARATION, CORRESPONDANCE) , 1993-1994",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER, REEXPORTATION"
0280,0076/STR,AUTORISATION DE REMBOURSEMENT PAR COMPENSATION,"(IMPRIME, CORRESPONDANCE, FORMULAIRE DECADE) , 1995-2000",,"TRANSIT, PRODUIT PETROLIER, DEDOUANEMENT"
0281,0077/STR,"ATTESTION SGS, GESTOCI","(CORRESPONDANCE) , 1993-1996",,"TRANSIT, DOUANE, PRODUIT PETROLIER, GESTOCI, SGS"
0282,0078/STR,DOSSIER ONBAH,"(BON DE COMMANDE, CORRESPONDANCE) , 1994",,"TRANSIT, PRODUIT PETROLIER, ONBAH, DOUANE"
0283,0079/STR,DOSSIER ONBAH,"(BON DE COMMANE, CORRESPONDANCE) , 1995-1996",,"TRANSIT, PRODUIT PETROLIER, ONBAH, DOUANE"
0284,0080/STR,SONABHY - GENDARMERIE - ONBAH - STD/SODIGAZ,"(IMPRIME DMC) , 1995 - 1997",,"TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER, SONABHY, GENDARMERIE, ONBAH, STD/SODIGAZ"
0285,0081/STR,ACHATS MATERIELS SONABHY : DEDOUANEMENT PAR LE SERVICE TRANSIT,"(BON, FACTURE, CORRESPONDANCE) , 1992-1994",,"TRANSIT, DEDOUANEMENT, MATERIEL, EQUIPEMENT, SONABHY"
0286,0082/STR,ACHATS MATERIELS SONABHY : DEDOUANEMENT PAR LE SERVICE TRANSIT,"(BON, FACTURE, CORRESPONDANCE) , 1995 - 1996",,"TRANSIT, DEDOUANEMENT, MATERIEL, EQUIPEMENT, SONABHY"
0287,0083/STR,DECADES SORTIES ET RECEPTIONS,"(FORMULAIRE DECADE) , 1995-1998",,"DEPOT BINGO, SORTIE, RECEPTION, PRODUIT PETROLIER"
0288,0084/STR,LA LUTTE CONTRE LA FRAUDE - DOSSIERS CONTENTIEUX,"(CORRESPONDANCE) , 1994-1996",,"TRANSIT, DOUANE, FRAUDE, LITIGE, SONABHY, PRODUIT PETROLIER"
0289,0085/STR,DECLARATION PREALABLE D'IMPORTATION,"(CORRESPONDANCE, IMPRIME DPI) , 1993-1995",,"TRANSIT, PRODUIT PETROLIER, DOUANE, IMPORTATION"
0290,0086/STR,DECLARATION PREALABLE D'IMPORTATION,"(IMPRIME DPI, CORRESPONDANCE) , 1996-1999",,"TRANSIT, DOUANE, PRODUIT PETROLIER, IMPORTATION"
0291,0087/STR,DECLARATION PREALABLE D'IMPORTATION,"(IMPRIME DPI, CORRESPONDANCE) , 2001-2002",,"TRANSIT, DOUANE, PRODUIT PETROLIER, IMPORTATION"
0292,0088/STR,DECLARATION DE MISE A LA CONSOMMATION,"(IMPRIME DMC) , 1990-1994",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER"
0293,0089/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1993-1995",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0294,0090/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1995",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0295,0091/STR,DECLARATION DE MISE A LA CONSOMMATION : MOBIL OIL BURKINA,"(IMPRIME DMC) , 1995",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, MOBIL OIL BURKINA"
0296,0092/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL TEXACO,"(IMPRIME DMC) , 1995",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL TEXACO"
0297,0093/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL TEXACO,"(IMPRIME DMC) , 1995",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL TEXACO"
0298,0094/STR,"DECLARATION DE MISE A LA CONSOMMATION : ELF OIL BURKINA, TAGUI","(IMPRIME DMC) , 1995",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, ELF OIL BURKINA, TAGUI"
0299,0095/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1996",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0300,0096/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1996",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0301,0097/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1996",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0302,0098/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL BURKINA,"(IMPRIME DMC) , 1996",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL BURKINA"
0303,0099/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL BURKINA,"(IMPRIME DMC) , 1996",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTA BURKINA"
0304,0100/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL BURKINA,"(IMPRIME DMC) , 1996",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL BURKINA"
0305,0101/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL BURKINA,"(IMPRIME DMC) , 1996",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL BURKINA"
0306,0102/STR,DECLARATION DE MISE A LA CONSOMMATION : ELF OIL BURKINA,"(IMPRIME DMC) , 1996",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, ELF OIL BURKINA"
0307,0103/STR,DECLARATION DE MISE A LA CONSOMMATION : ELF OIL BURKINA,"(IMPRIME DMC) , 1996",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, ELF OIL BURKINA"
0308,0104/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1997",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0309,0105/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1997",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0310,0106/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL BURKINA,"(IMPRIME DMC) , 1997",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL BURKINA"
0311,0107/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL BURKINA,"(IMPRIME DMC) , 1997",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL BURKINA"
0312,0108/STR,DECLARATION DE MISE A LA CONSOMMATION : ELF OIL BURKINA,"(IMPRIME DMC) , 1997",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, ELF OIL BURKINA"
0313,0109/STR,DECLARATION DE MISE A LA CONSOMMATION : MOBIL OIL BURKINA,"(IMPRIME DMC) , 1996-1997",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, MOBIL OIL BURKINA"
0314,0110/STR,DECLARATION DE MISE A LA CONSOMMATION : ELF OIL BURKINA,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, ELF OIL BURKINA"
0315,0111/STR,DECLARATION DE MISE A LA CONSOMMATION : ELF OIL BURKINA,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, ELF OIL BURKINA"
0316,0112/STR,DECLARATION DE MISE A LA CONSOMMATION : ELF OIL BURKINA,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, ELF OIL BURKINA"
0317,0113/STR,DECLARATION DE MISE A LA CONSOMMATION : ELF OIL BURKINA,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, ELF OIL BURKINA"
0318,0114/STR,DECLARATION DE MISE A LA CONSOMMATION : ELF OIL BURKINA,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, ELF OIL BURKINA"
0319,0115/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0320,0116/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0321,0117/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0322,0118/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0323,0119/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
0324,0120/STR,DECLARATION DE MISE A LA CONSOMMATION : BURKINA ET SHELL,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, BURKINA ET SHELL"
