ID,Code,Titre_dossier,CONTENU,Analyse_diplomatique,DATE,Numeros_pieces,OBSERVATIONS,Passage_GED,Base_GED,Sort_final
01697,1599/SC,BOA DECEMBRE,BOA,(PIECE COMPTABLE),"DECEMBRE, 2003",,,,,
01698,1600/SC,ECOBANK JANVIER,ECOBANK,(PIECE COMPTABLE),"JANVIER, 2003",,,,,
01699,1601/SC,ECOBANK FEVRIER,ECOBANK,(PIECE COMPTABLE),"FEVRIER, 2003",,,,,
01700,1602/SC,ECOBANK MARS I,ECOBANK,(PIECE COMPTABLE),"MARS, 2003",,,,,
01701,1603/SC,ECOBANK MARS II,ECOBANK,(PIECE COMPTABLE),"MARS, 2003",,,,,
01702,1604/SC,ECOBANK AVRIL,ECOBANK,(PIECE COMPTABLE),"AVRIL, 2003",,,,,
01703,1605/SC,ECOBANK MAI,ECOBANK,(PIECE COMPTABLE),"MAI, 2003",,,,,
01704,1606/SC,ECOBANK JUIN,ECOBANK,(PIECE COMPTABLE),"JUIN, 2003",,,,,
01705,1607/SC,ECOBANK JUILLET I,ECOBANK,(PIECE COMPTABLE),"JUILLET, 2003",,,,,
01706,1608/SC,ECOBANK JUILLET II,ECOBANK,(PIECE COMPTABLE),"JUILLET, 2003",,,,,
01707,1609/SC,ECOBANK AOUT,ECOBANK,(PICE COMPTABLE),"AOUT, 2003",,,,,
01708,1610/SC,ECOBANK SEPTEMBRE,ECOBANK,(PIECE COMPTABLE),"SEPTEMBRE, 2003",,,,,
01709,1611/SC,ECOBANK OCTOBRE,ECOBANK,(PIECE COMPTABLE),"OCTOBRE, 2003",,,,,
01710,1612/SC,ECOBANK NOVEMBRE,ECOBANK,(PIECE COMPTABLE),"NOVEMBRE, 2003",,,,,
01711,1613/SC,ECOBANK DECEMBRE I,ECOBANK,(PIECE COMPTABLE),"DECEMBRE, 2003",,,,,
01712,1614/SC,ECOBANK DECEMBRE II,ECOBANK,(PIECE COMPTABLE),"DECEMBRE, 2003",,,,,
01713,1615/SC,ECOBANK DECEMBRE III,ECOBANK,(PIECE COMPTABLE),"DECEMBRE, 2003",,,,,
01714,1616/SC,ECOBANK DECEMBRE IV,ECOBANK,(PIECE COMPTABLE),"DECEMBRE, 2003",,,,,
01715,1617/SC,SGBB JANVIER,SGBB,(PIECE COMPTABLE),"JANVIER, 2003",,,,,
01716,1618/SC,SGBB FEVRIER,SGBB,(PIECE COMPTABLE),"FEVRIER, 2003",,,,,
01717,1619/SC,SGBB MARS I,SGBB,(PIECE COMPTABLE),"MARS, 2003",,,,,
01718,1620/SC,SGBB MARS II,SGBB,(PIECE COMPTABLE),"MARS, 2003",,,,,
01719,1621/SC,SGBB AVRIL I,SGBB,(PIECE COMPTABLE),"AVRIL, 2003",,,,,
01720,1622/SC,SGBB AVRIL II,SGBB,(PIECE COMPTABLE),"AVRIL, 2003",,,,,
01721,1623/SC,SGBB AVRIL III,SGBB,(PIECE COMPTABLE),"AVRIL, 2003",,,,,
01722,1624/SC,SGBB MAI I,SGBB,(PIECE COMPTABLE),"MAI, 2003",,,,,
01723,1625/SC,SGBB MAI II,SGBB,(PIECE COMPTABLE),"MAI, 2003",,,,,
01724,1626/SC,SGBB MAI III,SGBB,(PIECE COMPTABLE),"MAI, 2003",,,,,
01725,1627/SC,SGBB JUIN I,SGBB,(PIECE COMPTABLE),"JUIN, 2003",,,,,
01726,1628/SC,SGBB JUIN II,SGBB,(PIECE COMPTABLE),"JUIN, 2003",,,,,
01727,1629/SC,SGBB JUIN III,SGBB,(PIECE COMPTABLE),"JUIN, 2003",,,,,
01728,1630/SC,SGBB JUILLET,SGBB,(PIECE COMPTABLE),"JUILLET, 2003",,,,,
01729,1631/SC,SGBB AOUT,SGBB,(PIECE COMPTABLE),"AOUT, 2003",,,,,
01730,1632/SC,SGBB SEPTEMBRE I,SGBB,(PIECE COMPTABLE),"SEPTEMBRE, 2003",,,,,
01731,1633/SC,SGBB SEPTEMBRE II,SGBB,(PIECE COMPTABLE),"SEPTEMBRE, 2003",,,,,
01732,1634/SC,SGBB OCTOBRE,SGBB,(PIECE COMPTABLE),"OCTOBRE, 2003",,,,,
01733,1635/SC,SGBB NOVEMBRE I,SGBB,(PIECE COMPTABLE),"NOVEMBRE, 2003",,,,,
01734,1636/SC,SGBB NOVEMBRE II,SGBB,(PIECE COMPTABLE),"NOVEMBRE, 2003",,,,,
01735,1637/SC,SGBB DECEMBRE,SGBB,(PIECE COMPTABLE),"DECEMBRE, 2003",,,,,
01736,1638/SC,BILAN AU 31-12-1999,"BILAN, SONABHY, COMPTABILITE",(ETAT),"DECEMBRE, 1999",,,,,
01737,1639/SC,ETATS DE SALAIRE,"SALAIRE, SONABHY, PERSONNEL",(ETAT),"JANVIER-JUIN, 2002",,,,,
01738,1640/SC,ETATS DE SALAIRE,"SALAIRE, SONABHY, PERSONNEL",(ETAT),"JUILLET-DECEMBRE, 2002",,,,,
01739,1641/SC,JOURNAUX CONSOLIDES-VENTES-SGBB-PAIE-OD,"JOURNAL, VENTE, SGBB, PAIE, OPERATION DIVERSE",(ETAT),2002,,,,,
01740,1642/SC,COURRIER ARRIVEE ET DEPART,"COURRIER, SONABHY","(LETTRE, NOTE DE SERVICE, FAX, TELEX, ORDRE DE MISSION)",1996-2000,,,,,
01741,1643/SC,CONFIRMATION DE SOLDES,"COMPTABILITE, SONABHY, COMPTE",(LETTRE),1998-2001,,,,,
01742,0184/SP,"DOSSIER RETRAITE: TAPSOBA T PAUL, KABORE AMBROISE","RETRAITE, PERSONNEL, SONABHY",(DOSSIER INDIVIDUEL),2004,,,,,
01743,1645/SC,ACHATS N°0149 A 0324,ACHAT,(PIECE COMPTABLE),2003,,,,,
01744,1646/SC,ACHATS N°0325 A 0461,ACHAT,(PIECE COMPTABLE),2003,,,,,
01745,1647/SC,ACHATS N°0462 A 0654,ACHAT,(PIECE COMPTABLE),2003,,,,,
01746,1648/SC,ACHATS N°0655 A 0846,ACHAT,(PIECE COMPTABLE),2003,,,,,
01747,1649/SC,ACHATS N°0847 A 1019,ACHAT,(PIECE COMPTABLE),2003,,,,,
01748,1650/SC,ACHATS N°1020 A 1166,ACHAT,(PIECE COMPTABLE),2003,,,,,
01749,1651/SC,ACHATS N°1167 A 1332,ACHAT,(PIECE COMPTABLE),2003,,,,,
01750,1652/SC,ACHATS N°1333 A 1498,ACHAT,(PIECE COMPTABLE),2003,,,,,
01751,1653/SC,ACHATS N°1499 A 1586,ACHAT,(PIECE COMPTABLE),2003,,,,,
01752,1654/SC,ACHATS N°1587 A 1678,ACHAT,(PIECE COMPTABLE),2003,,,,,
01753,1655/SC,ACHATS N°1679 A 1793,ACHAT,(PIECE COMPTABLE),2003,,,,,
01754,1656/SC,ACHATS N°1794 A 1909,ACHAT,(PIECE COMPTABLE),2003,,,,,
01755,1657/SC,ACHATS N°1910 A 2036,ACHAT,(PIECE COMPTABLE),2003,,,,,
01756,1658/SC,ACHATS N°2037 A 2189,ACHAT,(PIECE COMPTABLE),2003,,,,,
01757,1659/SC,ACHATS N°2190 A 2342,ACHAT,(PIECE COMPTABLE),2003,,,,,
01758,1660/SC,ACHATS N°2343 A 2435,ACHAT,(PIECE COMPTABLE),2003,,,,,
01759,1661/SC,ACHATS N°2436 A 2541,ACHAT,(PIECE COMPTABLE),2003,,,,,
01760,1662/SC,ACHATS N°2542 A 2669,ACHAT,(PIECE COMPTABLE),2003,,,,,
01761,1663/SC,ACHATS N°2670 A 2810,ACHAT,(PIECE COMPTABLE),2003,,,,,
01762,1664/SC,ACHATS N°2811 A 2967,ACHAT,(PIECE COMPTABLE),2003,,,,,
01763,1665/SC,ACHATS N°2968 A 3123,ACHAT,(PIECE COMPTABLE),2003,,,,,
01764,1666/SC,ACHATS N°3124 A 3224,ACHAT,(PIECE COMPTABLE),2003,,,,,
01765,1667/SC,ACHATS N°3225 A 3319,ACHAT,(PIECE COMPTABLE),2003,,,,,
01766,1668/SC,ACHATS N°3320 A 3445,ACHAT,(PIECE COMPTABLE),2003,,,,,
01767,1669/SC,ACHATS N°3446 A 3632,ACHAT,(PIECE COMPTABLE),2003,,,,,
01768,1670/SC,ACHATS N°3633 A 3773,ACHAT,(PIECE COMPTABLE),2003,,,,,
01769,1671/SC,ACHATS N°3774 A 3808,ACHAT,(PIECE COMPTABLE),2003,,,,,
01770,1672/SC,ACHATS N°3809 A 3956,ACHAT,(PIECE COMPTABLE),2003,,,,,
01771,1673/SC,ACHATS N°3957 A 4062,ACHAT,(PIECE COMPTABLE),2003,,,,,
01772,1674/SC,ACHATS N°4063 A 4190,ACHAT,(PIECE COMPTABLE),2003,,,,,
01773,1675/SC,ACHATS N°4191 A 4267,ACHAT,(PIECE COMPTABLE),2003,,,,,
01774,1676/SC,ACHATS N°4268 A 4388,ACHAT,(PIECE COMPTABLE),2003,,,,,
01775,1677/SC,ACHATS N°4389 A 4529,ACHAT,(PIECE COMPTABLE),2003,,,,,
01776,1678/SC,ACHATS N°4530 A 4681,ACHAT,(PIECE COMPTABLE),2003,,,,,
01777,1679/SC,ACHATS N°4682 A 4791,ACHAT,(PIECE COMPTABLE),2003,,,,,
01778,1680/SC,ACHATS N°4792 A 4944,ACHAT,(PIECE COMPTABLE),2003,,,,,
01779,1681/SC,ACHATS N°4945 A 5053,ACHAT,(PIECE COMPTABLE),2003,,,,,
01780,1682/SC,ACHATS N°5054 A 5207,ACHAT,(PIECE COMPTABLE),2003,,,,,
01781,1683/SC,ACHATS N°5208 A 5379,ACHAT,(PIECE COMPTABLE),2003,,,,,
01782,1684/SC,ACHATS N°5380 A 5541,ACHAT,(PIECE COMPTABLE),2003,,,,,
01783,1685/SC,ACHATS N°5542 A 5654,ACHAT,(PIECE COMPTABLE),2003,,,,,
01784,1686/SC,ACHATS N°5655 A 5718,ACHAT,(PIECE COMPTABLE),2003,,,,,
01785,1687/SC,VENTES N°0001 A 0142,VENTE,(PIECE COMPTABLE),2003,,,,,
01786,1688/SC,VENTES N°0143 A 0305,VENTE,(PIECE COMPTABLE),2003,,,,,
01787,1689/SC,VENTES N°0306 A 0465,VENTE,(PIECE COMPTABLE),2003,,,,,
01788,1690/SC,VENTES N°0466 A 0584,VENTE,(PIECE COMPTABLE),2003,,,,,
01789,1691/SC,VENTES N°0585 A 0734,VENTE,(PIECE COMPTABLE),2003,,,,,
01790,1692/SC,VENTES N°0735 A 0856,VENTE,(PIECE COMPTABLE),2003,,,,,
01791,1693/SC,VENTES N°0857 A 0965,VENTE,(PIECE COMPTABLE),2003,,,,,
01792,1694/SC,VENTES N°0966 A 1136,VENTE,(PIECE COMPTABLE),2003,,,,,
01793,1695/SC,VENTES N°1137 A 1272,VENTE,(PIECE COMPTABLE),2003,,,,,
01794,1696/SC,VENTES N°1273 A 1436,VENTE,(PIECE COMPTABLE),2003,,,,,
01795,1697/SC,VENTES N°1437 A 1550,VENTE,(PIECE COMPTABLE),2003,,,,,
01796,1698/SC,VENTES N°1551 A 1667,VENTE,(PIECE COMPTABLE),2003,,,,,
01797,1699/SC,VENTES N°1668 A 1837,VENTE,(PIECE COMPTABLE),2003,,,,,
01798,1700/SCSERVICE COMPTABILITE,VENTES N°1838 A 1957,VENTE,(PIECE COMPTABLE),2003,,,,,
01799,1701/SC,VENTES N°1958 A 2071,VENTE,(PIECE COMPTABLE),2003,,,,,
01800,1702/SC,VENTES N°2072 A 2195,VENTE,(PIECE COMPTABLE),2003,,,,,
01801,1703/SC,VENTES N°2196 A 2296,VENTE,(PIECE COMPTABLE),2003,,,,,
01802,1704/SC,VENTES N°2297 A 2391,VENTE,(PIECE COMPTABLE),2003,,,,,
01803,1705/SC,VENTES N°2392 A 2542,VENTE,(PIECE COMPTABLE),2003,,,,,
01804,1706/SC,VENTES N°2543 A 2680,VENTE,(PIECE COMPTABLE),2003,,,,,
01805,1707/SC,VENTES N°2681 A 2820,VENTE,(PIECE COMPTABLE),2003,,,,,
01806,1708/SC,VENTES N°2821 A 2971,VENTE,(PIECE COMPTABLE),2003,,,,,
01807,1709/SC,VENTES N°2972 A 3082,VENTE,(PIECE COMPTABLE),2003,,,,,
01808,1710/SC,VENTES N°3083 A 3173,VENTE,(PIECE COMPTABLE),2003,,,,,
01809,1711/SC,VENTES N°3174 A 3367,VENTE,(PIECE COMPTABLE),2003,,,,,
01810,1712/SC,VENTES N°3368 A 3531,VENTE,(PIECE COMPTABLE),2003,,,,,
01811,1713/SC,VENTES N°3532 A 3731,VENTE,(PIECE COMPTABLE),2003,,,,,
01812,1714/SC,VENTES N°3732 A 3906,VENTE,(PIECE COMPTABLE),2003,,,,,
01813,1715/SC,VENTES N°3907 A 4051,VENTE,(PIECE COMPTABLE),2003,,,,,
01814,1716/SC,VENTES N°4052 A 4220,VENTE,(PIECE COMPTABLE),2003,,,,,
01815,1717/SC,VENTES N°4221 A 4325,VENTE,(PIECE COMPTABLE),2003,,,,,
01816,1718/SC,VENTES N°4326 A 4508,VENTE,(PIECE COMPTABLE),2003,,,,,
01817,1719/SC,OD N°0001 A 0088,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01818,1720/SC,OD N°0089 A 0258,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01820,1722/SC,OD N°0345 A 0517,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01821,1723/SC,OD N°0518 A 0649,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01822,1724/SC,OD N°°0650 A 0798,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01823,1725/SC,OD N°0799 A 0854,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01824,1726/SC,OD N°0855 A 0971,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01825,1727/SC,OD N°0972 A 1098,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01826,1728/SC,OD N°1099 A 1240,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01827,1729/SC,OD N°1241 A 1355,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01828,1730/SC,OD N° 1356 A 1420,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01829,1731/SC,OD N°1421 A 1500,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01831,1733/SC,OD N°1645 A 1759,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01832,1734/SC,OD N°1760 A 1921,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01833,1735/SC,OD N°1922 A 2070,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01834,1736/SC,OD N°2071 A 2193,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01835,1737/SC,OD N°2194 A 2376,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01836,1738/SC,OD N°2377 A 2446,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01837,1739/SC,OD N°2447 A 2547,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01838,1740/SC,OD N°2548 A 2653,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01839,1741/SC,OD N°2654 A 2778,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01840,1742/SC,OD N°2779 A 2864,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01841,1743/SC,OD N°2865 A 2990,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01843,1745/SC,OD N°3049 A 3213,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01844,1746/SC,OD N°3214 A 3363,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01845,1747/SC,OD N°3364 A 3439,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01846,1748/SC,OD N°3440 A 3559,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01847,1749/SC,OD N°3560 A 3657,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01848,1750/SC,OD N°3658 A 3802,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01849,1751/SC,OD N°3803 A 3960,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01850,1752/SC,OD N°3961 A 4147,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01851,1753/SC,OD N°4148 A 4219,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01852,1754/SC,OD N°4220 A 4320,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01853,1755/SC,OD N°4321 A 4394,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01854,1756/SC,OD N°4395 A 4460,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01855,1757/SC,OD N°4461 A 4506,OPERATION DIVERSE,(PIECE COMPTABLE),2003,,,,,
01856,1758/SC,BICIA N°0001 A 0042,BICIA,(PIECE COMPTABLE),2003,,,,,
01857,1759/SC,BICIA N°0043 A 0112,BICIA,(PIECE COMPTABLE),2003,,,,,
01858,1760/SC,BICIA N°0113 A 0199,BICIA,(PIECE COMPTABLE),2003,,,,,
01859,1761/SC,BICIA N°0200 A 0290,BICIA,(PIECE COMPTABLE),2003,,,,,
01860,1762/SC,BICIA N°0291 A 0384,BICIA,(PIECE COMPTABLE),2003,,,,,
01861,1763/SC,BICIA N°0385 A 0487,BICIA,(PIECE COMPTABLE),2003,,,,,
01862,1764/SC,BICIA N°0488 A 0590,BICIA,(PIECE COMPTABLE),2003,,,,,
01863,1765/SC,BICIA N°0591 A 0685,BICIA,(PIECE COMPTABLE),2003,,,,,
01864,1766/SC,BICIA N°0686 A 0761,BICIA,(PIECE COMPTABLE),2003,,,,,
01865,1767/SC,BICIA N°0762 A 0865,BICIA,(PIECE COMPTABLE),2003,,,,,
01866,1768/SC,BICIA N°0866 A 0891,BICIA,(PIECE COMPTABLE),2003,,,,,
01867,1769/SC,BICIA N°0892 A 0965,BICIA,(PIECE COMPTABLE),2003,,,,,
01868,1770/SC,BICIA N°0966 A 1057,BICIA,(PIECE COMPTABLE),2003,,,,,
01869,1771/SC,BICIA N°1071 A 1074,BICIA,(PIECE COMPTABLE),2003,,,,,
01870,1772/SC,BIB N°001 A 028,BIB,(PIECE COMPTABLE),2003,,,,,
01871,1773/SC,BIB N°029 A 062,BIB,(PIECE COMPTABLE),2003,,,,,
01872,1774/SC,BIB N°063 A 114,BIB,(PIECE COMPTABLE),2003,,,,,
01873,1775/SC,BIB N°115 A 137,BIB,(PIECE COMPTABLE),2003,,,,,
01874,1776/SC,BIB N°138 A 255,BIB,(PIECE COMPTABLE),2003,,,,,
01875,1777/SC,BIB N°256 A 357,BIB,(PIECE COMPTABLE),2003,,,,,
01876,1778/SC,BCB N°001 A 070,BCB,(PIECE COMPTABLE),2003,,,,,
01877,1779/SC,BCB N°071 A 115,BCB,(PIECE COMPTABLE),2003,,,,,
01878,1780/SC,BCB N°116 A 170,BCB,(PIECE COMPTABLE),2003,,,,,
01879,1781/SC,BCB N°171 A 230,BCB,(PIECE COMPTABLE),2003,,,,,
01880,1782/SC,BCB N°231 A 292,BCB,(PIECE COMPTABLE),2003,,,,,
01881,1783/SC,BCB N°293 A 336,BCB,(PIECE COMPTABLE),2003,,,,,
01882,1784/SC,BCB N°337 A 387,BCB,(PIECE COMPTABLE),2003,,,,,
01883,1785/SC,BCB N°388 A 435,BCB,(PIECE COMPTABLE),2003,,,,,
01884,1786/SC,BCB N°436 A 553,BCB,(PIECE COMPTABLE),2003,,,,,
01885,1787/SC,BCB N°554 A 617,BCB,(PIECE COMPTABLE),2003,,,,,
01886,1788/SC,BOA N°001 A 015,BOA,(PIECE COMPTABLE),2003,,,,,
01887,1789/SC,BOA N°016 A 056,BOA,(PIECE COMPTABLE),2003,,,,,
01888,1790/SC,BOA N°057 A 120,BOA,(PIECE COMPTABLE),2003,,,,,
01889,1791/SC,BOA N°121 A 306,BOA,(PIECE COMPTABLE),2003,,,,,
01890,1792/SC,BOA N°307 A 404,BOA,(PIECE COMPTABLE),2003,,,,,
01891,1793/SC,BOA N°405 A 464,BOA,(PIECE COMPTABLE),2003,,,,,
01892,1794/SC,BOA N°465 A 529,BOA,(PIECE COMPTABLE),2003,,,,,
01893,1795/SC,SGBB N°001 A 041,SGBB,(PIECE COMPTABLE),2003,,,,,
01894,1796/SC,SGBB N°042 A 075,SGBB,(PIECE COMPTABLE),2003,,,,,
01895,1797/SC,SGBB N°076 A 093,SGBB,(PIECE COMPTABLE),2003,,,,,
01896,1798/SC,SGBB N°094 A 116,SGBB,(PIECE COMPTABLE),2003,,,,,
01897,1799/SC,SGBB N°117 A 174,SGBB,(PIECE COMPTABLE),2003,,,,,
01898,1800/SC,SGBB N°175 A 223,SGBB,(PIECE COMPTABLE),2003,,,,,
01899,1801/SC,SGBB N°224 A 249,SGBB,(PIECE COMPTABLE),2003,,,,,
01900,1802/SC,SGBB N°250 A 270,SGBB,(PIECE COMPTABLE),2003,,,,,
01901,1803/SC,SGBB N°271 A 294,SGBB,(PIECE COMPTABLE),2003,,,,,
01902,1804/SC,SGBB N°295 A 307,SGBB,(PIECE COMPTABLE),2003,,,,,
01903,1805/SC,SGBB N°308 A 345,SGBB,(PIECE COMPTABLE),2003,,,,,
01904,1806/SC,SGBB N°346 A 358,SGBB,(PIECE COMPTABLE),2003,,,,,
01905,1807/SC,SGBB N°359 A 401,SGBB,(PIECE COMPTABLE),2003,,,,,
01906,1808/SC,ECOBANK N°001 A 031,ECOBANK,(PIECE COMPTABLE),2003,,,,,
01908,1810/SC,ECOBANK N°056 A 113,ECOBANK,(PIECE COMPTABLE),2003,,,,,
01909,1811/SC,ECOBANK N°114 A 144,ECOBANK,(PIECE COMPTABLE),2003,,,,,
01910,1812/SC,ECOBANK N°145 A 190,ECOBANK,(PIECE COMPTABLE),2003,,,,,
01911,1813/SC,ECOBANK N°191 A 218,ECOBANK,(PIECE COMPTABLE),2003,,,,,
01912,1814/SC,ECOBANK N°219 A 303,ECOBANK,(PIECE COMPTABLE),2003,,,,,
01913,1815/SC,ECOBANK N°304 A 341,ECOBANK,(PIECE COMPTABLE),2003,,,,,
01914,1816/SC,ECOBANK N°342 A 393,ECOBANK,(PIECE COMPTABLE),2003,,,,,
01915,1817/SC,ECOBANK N°394 A 423,ECOBANK,(PIECE COMPTABLE),2003,,,,,
01916,1818/SC,ECOBANK N°424 A 498,ECOBANK,(PIECE COMPTABLE),2003,,,,,
01917,1819/SC,INVENTAIRE N°001 A 122,INVENTAIRE,(PIECE COMPTABLE),2003,,,,,
01918,1820/SC,INVENTAIRE N°123 A 241,INVENTAIRE,(PIECE COMPTABLE),2003,,,,,
01919,1821/SC,INVENTAIRE N°242 A 327,INVENTAIRE,(PIECE COMPTABLE),2003,,,,,
01920,1822/SC,INVENTAIRE N°328 A 403,INVENTAIRE,(PIECE COMPTABLE),2003,,,,,
01921,1823/SC,INVENTAIRE N°404 A 570,INVENTAIRE,(PIECE COMPTABLE),2003,,,,,
01922,1824/SC,INVENTAIRE N°571 A 714,INVENTAIRE,(PIECE COMPTABLE),2003,,,,,
01923,1825/SC,INVENTAIRE N°715 A 800,INVENTAIRE,(PIECE COMPTABLE),2003,,,,,
01924,1826/SC,INVENTAIRE N°801 A 865,INVENTAIRE,(PIECE COMPTABLE),2003,,,,,
01925,1827/SC,ETATS STOCKS BOBO,"ETAT, STOCK, SONABHY, BOBO",(ETAT),2002,,,,,
01926,1831/SC,BIB janvier I 2004,BIB,(PIECE COMPTABLE),"JANVIER, 2004",,,,,
01927,1832/SC,BIB janvier II 2004,BIB,(PIECE COMPTABLE),"JANVIER, 2004",,,,,
01928,1833/SC,BIB janvier III 2004,BIB,(PIECE COMPTABLE),"JANVIER, 2004",,,,,
01929,1834/SC,BIB février I 2004,BIB,(PIECE COMPTABLE),"FEVRIER, 2004",,,,,
01930,1835/SC,BIB février II 2004,BIB,(PIECE COMPTABLE),"FEVRIER, 2004",,,,,
01931,1836/SC,BIB février III 2004,BIB,(PIECE COMPTABLE),"FEVRIER, 2004",,,,,
01932,1837/SC,BIB mars 2004,BIB,(PIECE COMPTABLE),"FEVRIER, 2004",,,,,
01933,1838/SC,BIB avril I 2004,BIB,(PIECE COMPTABLE),"AVRIL, 2004",,,,,
01934,1839/SC,BIB avril II 2004,BIB,(PIECE COMPTABLE),"AVRIL, 2004",,,,,
01935,1840/SC,BIB avril III 2004,BIB,(PIECE COMPTABLE),"AVRIL, 2004",,,,,
01936,1841/SC,BIB avril IV 2004,BIB,(PIECE COMPTABLE),"AVRIL, 2004",,,,,
01937,1842/SC,BIB MAI I 2004,BIB,(PIECE COMPTABLE),"MAI, 2004",,,,,
01938,1843/SC,BIB mai II 2004,BIB,(PIECE COMPTABLE),"MAI, 2004",,,,,
01939,1844/SC,BIB mai III 2004,BIB,(PIECE COMPTABLE),"MAI, 2004",,,,,
01940,1845/SC,BIB mai IV 2004,BIB,(PIECE COMPTABLE),"MAI, 2004",,,,,
01941,1846/SC,BIB mai V 2004,BIB,(PIECE COMPTABLE),"MAI, 2004",,,,,
01942,1847/SC,BIB JUIN I 2004,BIB,(PIECE COMPTABLE),"JUIN, 2004",,,,,
01943,1848/SC,BIB juin II 2004,BIB,(PIECE COMPTABLE),"JUIN, 2004",,,,,
01944,1849/SC,BIB JUILLET 2004,BIB,(PIECE COMPTABLE),"JUILLET, 2004",,,,,
01945,1850/SC,BIB AOUT I 2004,BIB,(PIECE COMPTABLE),"AOUT, 2004",,,,,
01946,1851/SC,BIB aout II 2004,BIB,(PIECE COMPTABLE),"AOUT, 2004",,,,,
01947,1852/SC,BIB SEPTEMBRE 2004,BIB,(PIECE COMPTABLE),"SEPTEMBRE, 2004",,,,,
01948,1853/SC,BIB OCTOBRE 2004,BIB,(PIECE COMPTABLE),"OCTOBRE, 2004",,,,,
01949,1854/SC,BIB NOVEMBRE I 2004,BIB,(PIECE COMPTABLE),"NOVEMBRE, 2004",,,,,
01950,1855/SC,BIB novembre II 2004,BIB,(PIECE COMPTABLE),"NOVEMBRE, 2004",,,,,
01952,1856/SC,BICIA JANVIER 2004,BICIA,(PIECE COMPTABLE),"JANVIER, 2004",,,,,
01953,1857/SC,BICIA FEVRIER 2004,BICIA,(PIECE COMPTABLE),"FEVRIER, 2004",,,,,
01954,1858/SC,BICIA MARS I 2004,BICIA,(PIECE COMPTABLE),"MARS, 2004",,,,,
01955,1859/SC,BICIA mars II 2004,BICIA,(PIECE COMPTABLE),"MARS, 2004",,,,,
01956,1860/SC,BICIA AVRIL 2004,BICIA,(PIECE COMPTABLE),"AVRIL, 2004",,,,,
01957,1861/SC,BICIA MAI 2004,BICIA,(PIECE COMPTABLE),"MAI, 2004",,,,,
01958,1862/SC,BICIA JUIN 2004,BICIA,(PIECE COMPTABLE),"JUIN, 2004",,,,,
01959,1863/SC,BICIA JUILLET 2004,BICIA,(PIECE COMPTABLE),"JUILLET, 2004",,,,,
01960,1864/SC,BICIA AOUT 2004,BICIA,(PIECE COMPTABLE),"AOUT, 2004",,,,,
01961,1865/SC,BICIA SEPTEMBRE 2004,BICIA,(PIECE COMPTABLE),"SEPTEMBRE, 2004",,,,,
01962,1866/SC,BICIA OCTOBRE 2004,BICIA,(PIECE COMPTABLE),"OCTOBRE, 2004",,,,,
01963,1867/SC,BICIA NOVEMBRE 2004,BICIA,(PIECE COMPTABLE),"NOVEMBRE, 2004",,,,,
01964,1868/SC,BICIA novembre 2004,BICIA,(PIECE COMPTABLE),"NOVEMBRE, 2004",,,,,
01965,1868/SC,BCB JANVIER 2004,BCB,(PIECE COMPTABLE),"JANVIER, 2004",,,,,
