ref,titre,contenu,analyse_diplomatique,date
0177/ST,BONS D' ENLEVEMENT DEPOT SEPTEMBRE 2006,"BON, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),SEPTEMBRE 2006
0178/ST,BONS D' ENLEVEMENT DEPOT OCTOBRE 2006,"BON, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),OCTOBRE 2006
0179/ST,BONS D' ENLEVEMENT DEPOT NOVEMBRE 2006,"BON, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),NOVEMBRE 2006
0181/ST,BONS D' ENLEVEMENT DEPOT ANNULE JANVIER-JUIN 2006,"BON ANNULE, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),JANVIER-JUIN 2006
0182/ST,BONS D' ENLEVEMENT DEPOT ANNULE JUILLET-DECEMBRE 2006,"BON ANNULE, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),JUILLET-DECEMBRE 2006
0183/ST,BONS JAUNES DEPOT JANVIER-FEVRIER 2006,"BON JAUNE, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),JANVIER-FEVRIER 2006
0184/ST,BONS JAUNES DEPOT MARS-AVRIL 2006,"BON JAUNE, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),MARS-AVRIL 2006
0185/ST,BONS JAUNES DEPOT MAI-JUIN 2006,"BON JAUNE, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),MAI-JUIN 2006
0186/ST,BONS JAUNES DEPOT JUILLET-AOUT 2006,"BON JAUNE, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),JUILLET-AOUT 2006
0187/ST,BONS JAUNES DEPOT SEPTEMBRE-OCTOBRE 2006,"BON JAUNE, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),SEPTEMBRE-OCTOBRE 2006
0188/ST,BONS JAUNES DEPOT NOVEMBRE-DECEMBRE 2006,"BON JAUNE, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),NOVEMBRE-DECEMBRE 2006
0189/ST,BONS BLEUS DEPOT JANVIER 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),JANVIER 2006
0190/ST,BONS BLEUS DEPOT FEVRIER 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),FEVRIER 2006
0191/ST,BONS BLEUS DEPOT MARS 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),MARS 2006
0192/ST,BONS BLEUS DEPOT AVRIL 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),AVRIL 2006
0193/ST,BONS BLEUS DEPOT MAI 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),MAI 2006
0194/ST,BONS BLEUS DEPOT JUIN 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),JUIN 2006
0195/ST,BONS BLEUS DEPOT JUILLET 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),JUILLET 2006
0196/ST,BONS BLEUS DEPOT AOUT 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),AOUT 2006
0197/ST,BONS BLEUS DEPOT SEPTEMBRE 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),SEPTEMBRE 2006
0198/ST,BONS BLEUS DEPOT OCTOBRE 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),OCTOBRE 2006
0199/ST,BONS BLEUS DEPOT NOVEMBRE 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),NOVEMBRE 2006
0200/ST,BONS BLEUS DEPOT DECEMBRE 2006,"BON BLEU, ENLEVEMENT, PRODUIT PETROLIER, SONABHY, TRANSPORT, DEPOT, CLIENT",(BON),DECEMBRE 2006
TERME,,"ADDAX, STSL, ORYX, FOURNISSEUR, PRODUIT PETROLIER, APPROVISIONNEMENT, SONABHY","(FACTURE, CORRESPONDANCE, FICHE, COMPTE RENDU, CERTIFICAT, AVIS DE DEBIT)",2005-2006
"""CONSULTATION RESTREINTE; CONTRAT A TERME""",,"ADDAX, STSL, ORYX, SGS, FOURNISSEUR, PRODUIT PETROLIER, APPROVISIONNEMENT, SONABHY","(FACTURE, CORRESPONDANCE, FICHE TECHNIQUE, COMPTE RENDU, CONTRAT, AVIS DE DEBIT, ETAT)",2006
"TITRE;"": ACHAT PRODUITS PETROLIERS 2006: ADDAX ;  TRIGON ; SIR""",,"ADDAX, SIR, ORYX, TRIGON, FOURNISSEUR, PRODUIT PETROLIER, APPROVISIONNEMENT, SONABHY","(FACTURE, CORRESPONDANCE, DPI, ETAT)",2006
0201/ST,"BONS D'ENLEVEMENT DES MARKETERS : TAMOIL, PETRO-GULMU, COULIDIATI IDRISSA, ORYX-BURKINA, SGE 2005-2006, DOCUMENTS DIVERS : LEVEE DE SANCTION, PERTE DE BONS, JAUGEAGE 2005","ENLEVEMENT, PRODUIT PETROLIER, TAMOIL, PETRO-GULMU, COULIDIATI IDRISSA, ORYX-BURKINA, SGE, SANCTION, PERTE, JAUGEAGE","(BON, LEVEE DE SANCTION)",2005-2006
0208/SV,STRUCTURE DES PRIX 2000-2004,"STRUCTURE DE PRIX, MARKETING, MINISTERE DU COMMERCE, VENTE, PRODUIT PETROLIER, SONABHY",(ARRETE),2000-2004
0209/SV,STRUCTURE DES PRIX JANVIER A DECEMBRE 2006,"STRUCTURE DE PRIX, MARKETING, MINISTERE DU COMMERCE, VENTE, PRODUIT PETROLIER, SONABHY",(ARRETE),JANVIER-DECEMBRE 2006
0210/SV,FACTURATION CLIENTS 2000,"FACTURATION, CLIENT, SHELL, TOTAL, ELF, MOBIL, STD, TAGUI, CMI, OK, VENTE, PRODUIT PETROLIER, SONABHY",(FACTURE),2000
0211/SV,FACTURATION CLIENTS 2001,"FACTURATION, CLIENT, SHELL, TOTAL, TOTAL FINA ELF, TOTAL BURKINA, MOBIL, STD, SKI, OK, VENTE, PRODUIT PETROLIER, SONABHY",(FACTURE),2001
0212/SV,FACTURATION CLIENTS 2001,"FACTURATION, CLIENT, SHELL, TOTAL BURKINA, ELF OIL, MOBIL, STD, OK, TAGUI, CMI, EMGA, SONABHY BOBO, TFE, SKI, VENTE, PRODUIT PETROLIER, SONABHY",(FACTURE),2001
0213/SV,SITUATION DES STOCKS 2000-2002,"SITUATION, STOCK, VENTE, PRODUIT PETROLIER, SONABHY",(ETAT),2000-2002
0214/SV,ETAT DE REGLEMENTS CLIENTS 2000,"ETAT DE REGLEMENT, CLIENT, MOBIL, STD, TOTAL, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2000
0215/SV,ETAT DE REGLEMENTS CLIENTS 2001,"ETAT DE REGLEMENT, CLIENT, SHELL, MOBIL, STD, ELF, ECODIS, TAMOIL, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2001
0216/SV,ETAT DE REGLEMENTS CLIENTS 2001,"ETAT DE REGLEMENT, CLIENT, SHELL, ELF, MOBIL, STD, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2001
0217/SV,ETAT DE REGLEMENTS CLIENTS 2002,"ETAT DE REGLEMENT, CLIENT, SHELL, MOBIL, STD, TOTAL FINA ELF, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2002
0218/SV,ETAT DE REGLEMENTS CLIENTS 2002,"ETAT DE REGLEMENT, CLIENT, SHELL, TOTAL, MOBIL, STD, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2002
0219/SV,ETAT DE REGLEMENTS CLIENTS 2003,"ETAT DE REGLEMENT, CLIENT, SHELL, MOBIL, STD, TOTAL FINA ELF, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2003
0220/SV,ETAT DE REGLEMENTS CLIENTS 2003,"ETAT DE REGLEMENT, CLIENT, SHELL, MOBIL, STD, TOTAL FINA ELF, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2003
0221/SV,ETAT DE REGLEMENTS CLIENTS 2003,"ETAT DE REGLEMENT, CLIENT, CMI, ARYAN & CO, FADOUL, BAMBARA ISSA, SEZDGO P YANNICK, TAMOIL, ECODIS, SOGEL, ORYX, PETROFA, PETROSERVICE, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2003
0222/SV,ETAT DE REGLEMENTS CLIENTS 2004,"ETAT DE REGLEMENT, CLIENT, SHELL, STD, TFE, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2004
0223/SV,ETAT DE REGLEMENTS CLIENTS 2004,"ETAT DE REGLEMENT, CLIENT, SHELL, MOBIL, STD, TOTAL, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2004
0224/SV,ETAT DE REGLEMENTS CLIENTS 2004,"ETAT DE REGLEMENT, CLIENT, ECODIS, PETRO-SERVICE, PETROGAZ, PETROFA, ORYX, SOGEL, FADOUL, TAMOIL, PLUF, OTAM, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2004
0225/SV,ETAT DE REGLEMENTS CLIENTS 2004,"ETAT DE REGLEMENT, CLIENT, ECODIS, PETROFA, PETRO-SERVICE, SOGEL, TAMOIL, OTAM, PLUF, CMI, ORYX, FADOUL, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU),2004
0202/ST,BONS D'ENLEVEMENT EN DROITURE : JANVIER A FEVRIER 2006,"TRANSPORT, PRODUIT PETROLIER, DROITURE, ENLEVEMENT",(BON D'ENLEVEMENT),JANVIER-FEVRIER 2006 ABREVIATION  = BE-Dr
0203/ST,BONS D'ENLEVEMENT EN DROITURE : MAR A AVRIL 2006,"TRANSPORT, PRODUIT PETROLIER, DROITURE, ENLEVEMENT",(BON D'ENLEVEMENT),MARS-AVRIL 2006
0204/ST,BONS D'ENLEVEMENT EN DROITURE : MAI-JUIN 2006,"TRANSPORT, PRODUIT PETROLIER, DROITURE, ENLEVEMENT",(BON D'ENLEVEMENT),MAI-JUIN 2006
0205/ST,BONS D'ENLEVEMENT EN DROITURE : JUILLET-AOUT 2006,"TRANSPORT, PRODUIT PETROLIER, DROITURE, ENLEVEMENT",(BON D'ENLEVEMENT),JUILLET-AOUT 2006
0206/ST,BONS D'ENLEVEMENT EN DROITURE : SEPTEMBRE A OCTOBRE 2006,"TRANSPORT, PRODUIT PETROLIER, DROITURE, ENLEVEMENT",(BON D'ENLEVEMENT),SEPTEMBRE-OCTOBRE 2006
0207/ST,BONS D'ENLEVEMENT EN DROITURE : NOVEMBRE - DECEMBRE 2006,"TRANSPORT, PRODUIT PETROLIER, DROITURE, ENLEVEMENT",(BON D'ENLEVEMENT),NOVEMBRE-DECEMBRE 2006
0208/ST,BORDEREAUX DE LIVRAISON EN DROITURE SONABEL : JANVIER -JUIN 2006,"TRANSPORT, PRODUIT PETROLIER, DROITURE, SONABEL",(BORDEREAU DE LIVRAISON),JANVIER-JUIN 2006 ABREVIATION = BL-Dr
0209/ST,BORDEREAUX DE LIVRAISON EN DROITURE SONABEL : JUILLET-DECEMBRE 2006,"TRANSPORT, PRODUIT PETROLIER, DROITURE, SONABEL",(BORDEREAUX DE LIVRAISON),JUILLET-DECEMBRE 2006
0210/ST,BORDEREAUX DE LIVRAISON EN DROITURE SONABEL  : JANVIER-JUIN 2007,"TRANSPORT, PRODUIT PETROLIER, DROITURE, SONABEL",(BORDEREAU DE LIVRAISON),JANVIER-JUIN 2007
0211/ST,BORDEREAUX DE LIVRAISON EN DROITURE SONABEL : JUILLET-DECEMBRE 2007,"TRANSPORT, PRODUIT PETROLIER, DROITURE, SONABEL",(BORDEREAU DE LIVRAISON),JUILLET-DECEMBRE 2007
0212/ST,BONS MARKETER : TOTAL BURKINA 2005-2006,"TRANSPORT, PRODUIT PETROLIER, TOTAL BURKINA, ENLEVEMENT",(BON DE TRANSPORT),2005-2006
0213/ST,SITUATION DE STOCKS DES DEPOTS COTIERS :  STSL 1999-2000,"STOCK, PRODUIT PETROLIER, DEPOT COTIER, STSL",(ETAT),1999-2000
0214/ST,SITUATION DE STOCKS DES DEPOTS COTIERS :  STSL 2001-2002,"STOCK, PRODUIT PETROLIER, DEPOT COTIER, STSL",(ETAT),2001-2002
0215/ST,SITUATION DE STOCKS DES DEPOTS COTIERS :  STSL 2004.,"STOCK, PRODUIT PETROLIER, DEPOT COTIER, STSL",(ETAT),2004
0216/ST,"SITUATION DE STOCKS DES DEPOTS COTIERS :  SONACOP ""2003, 2004, 2005, 2006 ; BORDEREAU DE RENVOI DE"" FACTURES ERRONEES 2007","STOCK, PRODUIT PETROLIER, DEPOT COTIER, SONACOP, FACTURE ERRONEE, TRANSPORT","(ETAT, BORDEREAU)",2003-2007
0217/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) :  JANVIER 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),JANVIER 2007 ABREVIATION = BE-De
0218/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) :  FEVRIER 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),FEVRIER 2007
0219/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) :  MARS 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),MARS 2007
0220/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) :  AVRIL 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),AVRIL 2007
0221/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) :  MAI 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),MAI 2007
0222/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) :  JUIN 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),JUIN 2007
0223/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) :  JUILLET 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),JUILLET 2007
0224/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) :  AOUT 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),AOUT 2007
0225/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) :  SEPTEMBRE 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),SEPTEMBRE 2007
0226/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) : OCTOBRE 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),OCTOBRE 2007
0227/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) : NOVEMBRE 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),
0228/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) :  DECEMBRE I 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),DECEMBRE 2007
0229/ST,BONS D'ENLEVEMENT POUR DEPOT INTERIEUR (SOUCHE BLEU) :   DECEMBRE II 2007,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT",(BON D'ENLEVEMENT),DECEMBRE 2007
0226/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : BURKINA ET SHELL 2007,"VENTE, BURKINA ET SHELL, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0227/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : SKI 2007,"VENTE, SKI, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0228/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : TOTAL BURKINA 2007,"VENTE, TOTAL BURKINA, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0229/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : ECODIS 2007,"VENTE, ECODIS, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0230/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : PETROFA 2007,"VENTE, PETROFA, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0231/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : ORYX BURKINA 2007,"VENTE, ORYX BURKINA, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0232/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : OILIBYA (TAMOIL) 2007,"VENTE, OILIBYA, TAMOIL, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0233/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : OTAM 2007,"VENTE, OTAM, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0234/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : SOGEL-B 2007,"VENTE, SOGEL-B, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0235/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : PETROLUB 2007,"VENTE, PETROLUB, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0236/SV,FACTURES DE VENTE DE GAZ BUTANE : STD-SODIGAZ 2007,"VENTE, STD-SODIGAZ, SUBVENTION, GAZ",(FACTURE),2007 PASSAGE GED : NON
0237/SV,FACTURES DE VENTE DE GAZ BUTANE : PETRO GAZ SERVICES 2007,"VENTE, STD-SODIGAZ, GAZ, SUBVENTION",(FACTURE),2007 PASSAGE GED : NON
0238/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : SOCODIP 2007,"VENTE, SOCODIP, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0239/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : SONABEL 2007,"VENTE, SONABEL, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0240/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : PLUF 2007,"VENTE, PLUF, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0241/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : SOCIETE GENERALE DE L'EST (SGE) 2007,"VENTE, SGE, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0242/SV,FACTURES DE VENTE DE PRODUITS PETROLIERS : CPCI INTERNATIONAL 2007,"VENTE, CPCI INTERNATIONAL , PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0243/SV,"FACTURES DE VENTE DE PRODUITS PETROLIERS : PETRO GULMU, PEFAN, TRESOR, PMK, EMGA","VENTE, PETRO GULMU, PEFAN, TRESOR, PMK, EMGA, PRODUIT PETROLIER",(FACTURE),2007 PASSAGE GED : NON
0244/SV,"FACTURES DE VENTE DE PRODUITS PETROLIERS : TOTAL MALI, CHEVRON TOGO, SOLEIL MALI SERVICES 2007","VENTE, PRODUIT PETROLIER, TOTAL MALI, CHEVRON TOGO, SOLEIL MALI SERVICES",(FACTURE),2007 PASSAGE GED : NON
0230/ST,REQUETE D'ENLEVEMENT DE PRODUITS PETROLIERS : BONS DE TRANSPORT DES MARKETERS ET BONS D'ENLEVEMENT EMIS PAR LA SONABHY JUIN 2008 : 4012006-4012387,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT, MARKETER, SONABHY",(BON D'ENLEVEMENT),JUIN 2008 PASSAGE GED : NON
0231/ST,REQUETE D'ENLEVEMENT DE PRODUITS PETROLIERS : BONS DE TRANSPORT DES MARKETERS ET BONS D'ENLEVEMENT DE LA SONABHY JUILLET 2008 : 4012388-4012712,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT, MARKETER, SONABHY",(BON D'ENLEVEMENT),JUILLET 2008 PASSAGE GED : NON
0232/ST,REQUETE D'ENLEVEMENT DE PRODUITS PETROLIERS : BONS DE TRANSPORT DES MARKETERS ET BONS D'ENLEVEMENT DE LA SONABHY AOUT 2008 : 4012713-4012966,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT, MARKETER, SONABHY",(BON D'ENLEVEMENT),AOUT 2008 PASSAGE GED : NON
0233/ST,REQUETE D'ENLEVEMENT DE PRODUITS PETROLIERS : BONS DE TRANSPORT ET BONS D'ENLEVEMENT DE LA SONABHY : 4012967-4013315 DE SEPTEMBRE 2008,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT, MARKETER, SONABHY",(BON D'ENLEVEMENT),SEPTEMBRE 2008 PASSAGE GED : NON
0234/ST,REQUETE D'ENLEVEMENT DE PRODUITS PETROLIERS : BONS DE TRANSPORT DES MARKETERS ET BONS D'ENLEVEMENT DE LA SONABHY : 4013316-4013711 OCTOBRE 2008,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT, MARKETER, SONABHY",(BON D'ENLEVEMENT),OCTOBRE 2008 PASSAGE GED : NON
0235/ST,REQUETE D'ENLEVEMENT DE PRODUITS PETROLIERS : BONS DE TRANSPORT DES MARKETERS ET BONS D'ENLEVEMENT DE LA SONABHY : 4013712-4014087 NOVEMBRE 2008,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT, MARKETER, SONABHY",(BON D'ENLEVEMENT),NOVEMBRE 2008 PASSAGE GED : NON
0236/ST,REQUETE D'ENLEVEMENT DE PRODUITS PETROLIERS : BONS DE TRANSPORT DES MARKETERS ET BONS D'ENLEVEMENT DE LA SONABHY : 4014088-4014440 DE DECEMBRE 2008,"ENLEVEMENT, PRODUIT PETROLIER, TRANSPORT, MARKETER, SONABHY",(BON D'ENLEVEMENT),DECEMBRE 2008 PASSAGE GED : NON
0237/ST,TRANSPORT : SITUATION DES STOCKS DEPOT COTIER : STSL 2005,"TRANSPORT, PRODUIT PETROLIER, STOCK, DEPOT COTIER, STSL",(ETAT),JANVIER-DECEMBRE 2005 PASSAGE GED : NON
0238/ST,TRANSPORT : SITUATION DES STOCKS DEPOT COTIER : STSL 2006,"TRANSPORT, PRODUIT PETROLIER, STOCK, DEPOT COTIER, STSL",(ETAT),2006 PASSAGE GED : NON
0239/ST,TRANSPORT : SITUATION DES STOCKS DEPOT COTIER : STSL 2007,"TRANSPORT, PRODUIT PETROLIER, STOCK, DEPOT COTIER, STSL",(ETAT),2007 DOSSIER INCOMPLET PASSAGE GED : NON
0240/ST,TRANSPORT : SITUATION DES STOCKS DEPOT COTIER : STSL 2008,"TRANSPORT, PRODUIT PETROLIER, STOCK, DEPOT COTIER, STSL",(ETAT),2008 DOSSIER INCOMPLET PASSAGE GED : NON
0241/ST,TRANSPORT : SITUATION DES STOCKS DEPOT COTIER : ORYX BENIN 2004,"TRANSPORT, PRODUIT PETROLIER, STOCK, DEPOT COTIER, ORYX BENIN",(ETAT),JANVIER-DECEMBRE 2004 PASSAGE GED : NON
0242/ST,TRANSPORT : SITUATION DES STOCKS DEPOT COTIER : ORYX BENIN 2005,"TRANSPORT, PRODUIT PETROLIER, STOCK, DEPOT COTIER, ORYX BENIN",(ETAT),FEVRIER-DECEMBRE 2005 JANVIER 2005 MANQUE PASSAGE GED : NON
0243/ST,TRANSPORT : SITUATION DES STOCKS DEPOT COTIER : ORYX BENIN 2006,"TRANSPORT, PRODUIT PETROLIER, STOCK, DEPOT COTIER, ORYX BENIN",(ETAT),FEVRIER-DECEMBRE 2006 JANVIER 2006 MANQUE PASSAGE GED : NON
0244/ST,TRANSPORT : SITUATION DES STOCKS DEPOT COTIER : ORYX BENIN 2007,"TRANSPORT, PRODUIT PETROLIER, STOCK, DEPOT COTIER, ORYX BENIN",(ETAT),2007 MARS 2007 MANQUE PASSAGE GED : NON
0245/ST,TRANSPORT : SITUATION DES STOCKS DEPOT COTIER : ORYX BENIN 2008,"TRANSPORT, PRODUIT PETROLIER, STOCK, DEPOT COTIER, ORYX BENIN",(ETAT),2008 DOSSIER INCOMPLET PASSAGE GED : NON
0246/ST,TRANSPORT : BORDEREAUX DE TRANSFERT DE PRODUITS PETROLIERS DU DEPOT COTIER : GESTOCI 2005,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, GESTOCI",(BULLETIN D'ENLEVEMENT),JUIN-DECEMBRE 2005 DOSSIER INCOMPLET PASSAGE GED : NON
0247/ST,TRANSPORT : BORDEREAUX DE TRANSFERT DE PRODUITS PETROLIERS DU DEPOT COTIER : GESTOCI 2006,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, GESTOCI",(BULLETIN D'ENLEVEMENT),JANVIER-DECEMBRE 2006 PASSAGE GED : NON
0248/ST,TRANSPORT : BORDEREAUX DE TRANSFERT DE PRODUITS PETROLIERS DU DEPOT COTIER : GESTOCI 2007,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, GESTOCI",(ETAT),2007 DOSSIER INCOMPLET PASSAGE GED : NON
0249/ST,TRANSPORT : BORDEREAUX DE TRANSFERT DE PRODUITS PETROLIERS DU DEPOT COTIER : GESTOCI 2008,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, GESTOCI",(BULLETIN D'ENLEVEMENT),2008 DOSSIER INCOMPLET PASSAGE GED : NON
0250/ST,TRANSPORT : CARNET DES BORDEREAUX DE RENVOI DE FACTURES ERRONEES : 2006-2008,"TRANSPORT, FACTURATION, PRODUIT PETROLIER",(CARNET DE BORDEREAU),2006-2008 PASSAGE GED : NON
0021/SA,"ACHAT PRODUITS PETROLIERS 2005-2006 : APPEL D'OFFRE ""AO02/02 LOT 1 ET LOT 2 ; ACHAT DIRECT 01/06 ;"" ""CONSULTATION RESTREINTE 01/06 ; RELIQUAT A 004/05 ;"" ""RELIQUAT CAT 05/05 ; CONSULTATION RESTREINTE 01/05""","ADDAX, STSL, ORYX, PRODUIT PETROLIER, APPROVISIONNEMENT","(FACTURE, CORRESPONDANCE, FICHE TECHNIQUE, COMPTE RENDU, AVIS DE DEBIT)",2005-2006
0022/SA,"ACHAT DE PRODUITS PETROLIERS 2006 : APPEL D'OFFRE ""001 ; CONTRAT A TERME 01 02 03  ; CONSULTATION"" RESTREINTE 02","ADDAX, ORYX, PRODUIT PETROLIER, APPROVISIONNEMENT, STSL","(FACTURE, AVIS DE DEBIT, DECLARATION PREALABLE IMPORTATION, CORRESPONDANCE, CONTRAT)",2006
